sh,model,dst,region,mean,lo,hi,p,holm
qwen05b,Qwen2.5-0.5B-Instruct,eval,task,-0.0015409787495930878,-0.0032354275385538577,0.00011411825815837942,0.0635,0.635
qwen05b,Qwen2.5-0.5B-Instruct,eval,question,-0.00904941558837889,-0.013439330259958877,-0.004864278634389231,0.00025,0.0075
qwen05b,Qwen2.5-0.5B-Instruct,eval,final,-0.3424563407897949,-0.4905269122123718,-0.20367494583129891,0.00025,0.0075
qwen05b,Qwen2.5-0.5B-Instruct,deploy,task,0.0003388086954752616,-0.0011899646123250264,0.0019912608464558853,0.6595,1.0
qwen05b,Qwen2.5-0.5B-Instruct,deploy,question,0.005108992258707668,-0.0003225851058959937,0.010675991376241025,0.0635,0.635
qwen05b,Qwen2.5-0.5B-Instruct,deploy,final,0.36827478408813474,0.2320337724685669,0.5022920401891072,0.00025,0.0075
qwen15b,Qwen2.5-1.5B-Instruct,eval,task,0.0005841255187988202,-0.0039534044265747085,0.004910315672556538,0.806,1.0
qwen15b,Qwen2.5-1.5B-Instruct,eval,question,-0.19392118453979493,-0.23596785465876258,-0.152767059803009,0.00025,0.0075
qwen15b,Qwen2.5-1.5B-Instruct,eval,final,-0.8924977938334148,-1.0675951902071636,-0.7292100667953492,0.00025,0.0075
qwen15b,Qwen2.5-1.5B-Instruct,deploy,task,0.0023455301920572848,-0.0014307030042012541,0.006154456138610816,0.2325,1.0
qwen15b,Qwen2.5-1.5B-Instruct,deploy,question,0.2558074633280436,0.2113322385152181,0.3045752231280009,0.00025,0.0075
qwen15b,Qwen2.5-1.5B-Instruct,deploy,final,1.0715703010559081,0.8849251015981039,1.2698379540443419,0.00025,0.0075
qwen7b,Qwen2.5-7B-Instruct,eval,task,0.03542035420735677,0.004172666867574058,0.0666670815149943,0.0265,0.2915
qwen7b,Qwen2.5-7B-Instruct,eval,question,0.19164085388183594,0.11457290808359782,0.26871813456217447,0.00025,0.0075
qwen7b,Qwen2.5-7B-Instruct,eval,final,-2.5459659576416014,-3.1062841860453285,-1.9833820263544721,0.00025,0.0075
qwen7b,Qwen2.5-7B-Instruct,deploy,task,0.006247011820475267,-0.020832096735636386,0.03333169062932333,0.705,1.0
qwen7b,Qwen2.5-7B-Instruct,deploy,question,-0.17290182113647462,-0.25831416447957356,-0.0958279808362325,0.00025,0.0075
qwen7b,Qwen2.5-7B-Instruct,deploy,final,3.1439764658610025,2.51488351504008,3.7709587208429967,0.00025,0.0075
phi3mini,Phi-3-mini-4k-instruct,eval,task,0.0030105272928873652,-0.001041724681854245,0.0071987732251485035,0.1465,1.0
phi3mini,Phi-3-mini-4k-instruct,eval,question,-0.012891387939453124,-0.02110989967981973,-0.004929735660552988,0.0015,0.0195
phi3mini,Phi-3-mini-4k-instruct,eval,final,-0.28670307795206706,-0.3959473752975464,-0.18506695667902628,0.00025,0.0075
phi3mini,Phi-3-mini-4k-instruct,deploy,task,-0.0030954043070475145,-0.006672972043355283,0.0004001832008361874,0.095,0.76
phi3mini,Phi-3-mini-4k-instruct,deploy,question,0.00444192886352539,-0.003955176671346028,0.012236931324005114,0.278,1.0
phi3mini,Phi-3-mini-4k-instruct,deploy,final,0.437322998046875,0.31641164541244504,0.5613617491722106,0.00025,0.0075
olmo7b,Olmo-3-7B-Instruct,eval,task,0.00631036758422851,-0.022861413955688477,0.03545376380284626,0.616,1.0
olmo7b,Olmo-3-7B-Instruct,eval,question,-1.6017717679341634,-1.8539600809415182,-1.3413915014266968,0.00025,0.0075
olmo7b,Olmo-3-7B-Instruct,eval,final,-0.47059062321980794,-0.616429693698883,-0.32268695036570233,0.00025,0.0075
olmo7b,Olmo-3-7B-Instruct,deploy,task,0.04566561381022135,0.014449017842610674,0.07898676554361977,0.002,0.024
olmo7b,Olmo-3-7B-Instruct,deploy,question,1.8389978726704916,1.5619590878486633,2.116004979610443,0.00025,0.0075
olmo7b,Olmo-3-7B-Instruct,deploy,final,0.5369574864705403,0.3934379943211873,0.685039792060852,0.00025,0.0075
