train_family,test_family,auc
explicit_direct,explicit_direct,1.0
explicit_direct,benchmark_format,0.9840123456790123
explicit_direct,system_metadata,0.9389814814814814
explicit_direct,third_party_researcher,1.0
explicit_direct,subtle_exam_format,0.9881481481481482
benchmark_format,explicit_direct,1.0
benchmark_format,benchmark_format,1.0
benchmark_format,system_metadata,0.9986728395061728
benchmark_format,third_party_researcher,1.0
benchmark_format,subtle_exam_format,0.998858024691358
system_metadata,explicit_direct,0.9799074074074074
system_metadata,benchmark_format,0.9848765432098765
system_metadata,system_metadata,1.0
system_metadata,third_party_researcher,0.9532716049382717
system_metadata,subtle_exam_format,0.9083333333333333
third_party_researcher,explicit_direct,1.0
third_party_researcher,benchmark_format,0.9623456790123457
third_party_researcher,system_metadata,0.8066975308641976
third_party_researcher,third_party_researcher,1.0
third_party_researcher,subtle_exam_format,0.9751851851851852
subtle_exam_format,explicit_direct,0.9998765432098766
subtle_exam_format,benchmark_format,0.9631481481481481
subtle_exam_format,system_metadata,0.868179012345679
subtle_exam_format,third_party_researcher,0.9995987654320987
subtle_exam_format,subtle_exam_format,1.0
