layer,held_out,auc
0,subtle_exam_format,0.9269135802469135
1,subtle_exam_format,0.8928086419753086
2,subtle_exam_format,0.9837654320987654
3,subtle_exam_format,0.9877777777777778
4,subtle_exam_format,0.9948456790123457
5,subtle_exam_format,0.9958333333333333
6,subtle_exam_format,0.9951851851851853
7,subtle_exam_format,0.9932098765432099
8,subtle_exam_format,0.9973765432098765
9,subtle_exam_format,0.996141975308642
10,subtle_exam_format,0.9979012345679013
11,subtle_exam_format,0.9980246913580247
12,subtle_exam_format,0.9974382716049384
13,subtle_exam_format,0.9882098765432099
14,subtle_exam_format,0.9812037037037037
15,subtle_exam_format,0.9552469135802468
16,subtle_exam_format,0.9554012345679013
17,subtle_exam_format,0.9461419753086421
18,subtle_exam_format,0.9044135802469137
19,subtle_exam_format,0.8662345679012347
20,subtle_exam_format,0.8570061728395062
21,subtle_exam_format,0.890277777777778
22,subtle_exam_format,0.8958333333333334
23,subtle_exam_format,0.8826543209876544
24,subtle_exam_format,0.86
25,subtle_exam_format,0.850925925925926
26,subtle_exam_format,0.8698456790123458
27,subtle_exam_format,0.8811728395061728
28,subtle_exam_format,0.8888888888888888
29,subtle_exam_format,0.9358641975308643
30,subtle_exam_format,0.9312962962962964
31,subtle_exam_format,0.9311111111111111
