layer,cv_acc,cv_auc,test_auc
0,0.9419753086419753,0.9815432098765431,0.9184382716049383
1,0.951851851851852,0.9947839506172841,0.9477839506172839
2,0.9790123456790123,0.999104938271605,0.9782716049382716
3,0.982716049382716,0.9999074074074074,0.9794012345679012
4,0.9851851851851852,0.9999074074074074,0.9939753086419754
5,0.9802469135802468,0.9968518518518519,0.9711358024691359
6,0.9839506172839506,0.9983641975308644,0.9663086419753086
7,0.9839506172839506,0.9999074074074074,0.9579753086419753
8,0.991358024691358,1.0,0.9517530864197531
9,0.9888888888888889,0.9991975308641976,0.9282654320987656
10,0.9925925925925926,0.999567901234568,0.9095617283950619
11,0.9740740740740741,0.9956481481481483,0.9149567901234567
12,0.9580246913580247,0.9882407407407408,0.9141543209876544
13,0.9469135802469136,0.9750308641975309,0.8983333333333333
14,0.9567901234567902,0.985648148148148,0.8869567901234567
15,0.9580246913580247,0.990679012345679,0.8520864197530864
16,0.9432098765432098,0.9937037037037036,0.8206790123456791
17,0.9666666666666666,0.9981172839506172,0.8703888888888889
18,0.9543209876543208,0.9931172839506173,0.8347654320987654
19,0.9271604938271605,0.9828703703703704,0.7753950617283949
20,0.9469135802469136,0.9842283950617284,0.7748518518518519
21,0.9320987654320987,0.9791358024691359,0.7762530864197531
22,0.9160493827160494,0.9626851851851852,0.7396604938271605
23,0.9,0.960432098765432,0.7287345679012345
24,0.8864197530864197,0.9531172839506172,0.7258456790123456
25,0.8802469135802469,0.9633024691358025,0.738395061728395
26,0.8790123456790123,0.9606481481481481,0.7275246913580247
27,0.888888888888889,0.9622222222222222,0.737895061728395
28,0.8975308641975308,0.970216049382716,0.7256358024691358
29,0.9135802469135802,0.9740432098765431,0.7452839506172839
30,0.9135802469135802,0.9698765432098766,0.745925925925926
31,0.9061728395061728,0.9589506172839506,0.7312839506172839
