dst_cls,layer,region,source,content_id,delta,dist,a,b,kk
eval,8,task,samecls_samecont,c000,-0.12493896484375,2.070270538330078,109,46,109
eval,8,question,samecls_samecont,c000,-0.49977684020996094,0.9938318729400635,46,1,109
eval,8,final,samecls_samecont,c000,-0.12481117248535156,0.5650413036346436,1,0,109
eval,8,readout,samecls_samecont,c000,-0.37485313415527344,0.9845102429389954,46,0,109
eval,16,task,samecls_samecont,c000,3.0517578125e-05,5.117833614349365,109,46,109
eval,16,question,samecls_samecont,c000,-0.5000114440917969,4.053895950317383,46,1,109
eval,16,final,samecls_samecont,c000,-0.3745403289794922,2.3073105812072754,1,0,109
eval,16,readout,samecls_samecont,c000,-0.8747329711914062,4.015926837921143,46,0,109
eval,8,task,othercls_samecont,c000,-0.49985694885253906,2.057075023651123,108,46,108
eval,8,question,othercls_samecont,c000,-0.9994430541992188,1.05659019947052,46,1,108
eval,8,final,othercls_samecont,c000,-0.12495231628417969,0.6701731085777283,1,0,108
eval,8,readout,othercls_samecont,c000,-0.9993000030517578,1.0481898784637451,46,0,108
eval,16,task,othercls_samecont,c000,0.0002536773681640625,5.740029335021973,108,46,108
eval,16,question,othercls_samecont,c000,-2.249784469604492,4.262041091918945,46,1,108
eval,16,final,othercls_samecont,c000,-0.3743915557861328,4.427777290344238,1,0,108
eval,16,readout,othercls_samecont,c000,-2.4992923736572266,4.26564359664917,46,0,108
eval,8,task,samecls_diffcont,c000,0.0001468658447265625,2.390376091003418,79,46,79
eval,8,question,samecls_diffcont,c000,5.53131103515625e-05,1.2560986280441284,46,1,79
eval,8,final,samecls_diffcont,c000,0.1250133514404297,0.7633247971534729,1,0,79
eval,8,readout,samecls_diffcont,c000,0.0002593994140625,1.2453861236572266,46,0,79
eval,16,task,samecls_diffcont,c000,-9.5367431640625e-05,6.03399133682251,79,46,79
eval,16,question,samecls_diffcont,c000,-0.3750591278076172,4.467047214508057,46,1,79
eval,16,final,samecls_diffcont,c000,0.125244140625,3.1332576274871826,1,0,79
eval,16,readout,samecls_diffcont,c000,-0.25003814697265625,4.438051223754883,46,0,79
eval,8,task,othercls_diffcont,c000,3.814697265625e-05,2.36913800239563,79,46,79
eval,8,question,othercls_diffcont,c000,-0.6246871948242188,1.3817864656448364,46,1,79
eval,8,final,othercls_diffcont,c000,-0.12492942810058594,0.725188672542572,1,0,79
eval,8,readout,othercls_diffcont,c000,-0.6245174407958984,1.367512583732605,46,0,79
eval,16,task,othercls_diffcont,c000,-5.7220458984375e-06,6.489664554595947,79,46,79
eval,16,question,othercls_diffcont,c000,-0.8749446868896484,5.501010417938232,46,1,79
eval,16,final,othercls_diffcont,c000,0.1252422332763672,3.688737154006958,1,0,79
eval,16,readout,othercls_diffcont,c000,-0.7499141693115234,5.461613655090332,46,0,79
eval,8,task,samecls_samecont,c002,-0.25002479553222656,2.179896831512451,102,46,102
eval,8,question,samecls_samecont,c002,-0.6247539520263672,1.2313075065612793,46,1,102
eval,8,final,samecls_samecont,c002,3.814697265625e-05,0.6261231303215027,1,0,102
eval,8,readout,samecls_samecont,c002,-0.6247444152832031,1.2181512117385864,46,0,102
eval,16,task,samecls_samecont,c002,5.14984130859375e-05,5.152362823486328,102,46,102
eval,16,question,samecls_samecont,c002,-0.6248798370361328,3.8744657039642334,46,1,102
eval,16,final,samecls_samecont,c002,-0.37491798400878906,2.9849209785461426,1,0,102
eval,16,readout,samecls_samecont,c002,-0.8747844696044922,3.8551278114318848,46,0,102
eval,8,task,othercls_samecont,c002,1.33514404296875e-05,1.9448655843734741,102,46,102
