arm,dst_cls,layer,region,effect,mean,lo,hi,n_contents
constructed,deploy,8,final,class,-0.008350022633870443,-0.04368325789769491,0.024956320126851398,30
constructed,deploy,8,final,content,0.01246328353881836,-0.04175993283589681,0.062483584880828856,30
constructed,deploy,8,final,interaction,2.6416778564453124e-05,-0.03736456314722697,0.03962706804275513,30
constructed,deploy,8,readout,class,0.4434072494506836,0.2810274068514506,0.5997450804710388,30
constructed,deploy,8,readout,content,-0.0063479105631510414,-0.22105270783106484,0.19159011205037435,30
constructed,deploy,8,readout,interaction,0.047798474629720054,-0.10830563863118489,0.21667349418004328,30
constructed,deploy,8,task,class,-0.06125011444091797,-0.156054527759552,0.03148574670155842,30
constructed,deploy,8,task,content,-0.02594280242919922,-0.1686193895339966,0.10001098950703938,30
constructed,deploy,8,task,interaction,0.005089124043782552,-0.0646642525990804,0.08232406536738067,30
constructed,deploy,16,final,class,0.4931921641031901,0.33449406623840333,0.6454845889409381,30
constructed,deploy,16,final,content,-0.13145230611165365,-0.31660185972849525,0.02707294146219867,30
constructed,deploy,16,final,interaction,0.09346733093261719,-0.07088616530100504,0.26433764457702613,30
constructed,deploy,16,readout,class,2.0720648447672527,1.7286070680618286,2.430667870044708,30
constructed,deploy,16,readout,content,-0.27731221516927085,-0.7228522435824076,0.12651201248168858,30
constructed,deploy,16,readout,interaction,0.16431528727213543,-0.21070717573165892,0.5177709595362341,30
constructed,deploy,16,task,class,0.004062716166178385,-0.033345531622568765,0.03953064759572319,30
constructed,deploy,16,task,content,-0.025020599365234375,-0.07283130168914795,0.018617731730143226,30
constructed,deploy,16,task,interaction,-0.025005340576171875,-0.05625543435414632,0.008259440263112386,30
constructed,eval,8,final,class,-2.765655517578125e-05,-0.033363802433013914,0.035366756121317545,30
constructed,eval,8,final,content,-0.016669654846191408,-0.07496263742446899,0.04581147034962972,30
constructed,eval,8,final,interaction,-0.012500254313151042,-0.043746742407480874,0.01665306806564331,30
constructed,eval,8,readout,class,-0.46025320688883464,-0.6227222617467244,-0.3082086173693339,30
constructed,eval,8,readout,content,0.22287413279215496,0.01660672426223755,0.4083744668960569,30
constructed,eval,8,readout,interaction,0.09794063568115234,-0.06660800377527872,0.2895628881454468,30
constructed,eval,8,task,class,-0.06251633961995443,-0.11043303728103637,-0.014611706733703614,30
constructed,eval,8,task,content,-0.008296966552734375,-0.1269879945119222,0.1229923160870867,30
constructed,eval,8,task,interaction,-0.008328056335449219,-0.06876314957936604,0.05212332646052042,30
