arm,dst_cls,layer,region,source,content_id,delta,dist,dist_unit,scale,scale_min,scale_max,n_clamped,pid,kk,a,b,cand
unmatched,eval,8,final,samecls_samecont,c000,-0.12481117248535156,0.5650413036346436,0.09186288714408875,1.0,1.0,1.0,0,p00188,109,1,0,0
unmatched,eval,8,final,othercls_samecont,c000,-0.12495231628417969,0.6701731085777283,0.10836169868707657,1.0,1.0,1.0,0,p00117,108,1,0,0
unmatched,eval,8,final,samecls_diffcont,c000,0.1250133514404297,0.7633247971534729,0.1227291002869606,1.0,1.0,1.0,0,p00189,79,1,0,0
unmatched,eval,8,final,othercls_diffcont,c000,-0.12492942810058594,0.725188672542572,0.11746294051408768,1.0,1.0,1.0,0,p00289,79,1,0,0
selected,eval,8,final,samecls_samecont,c000,-0.12481117248535156,0.5650413036346436,0.09186288714408875,1.0,1.0,1.0,0,p00188,109,1,0,0
selected,eval,8,final,othercls_samecont,c000,-2.6702880859375e-05,0.6011525392532349,0.09700490534305573,1.0,1.0,1.0,0,p00296,108,1,0,3
selected,eval,8,final,samecls_diffcont,c000,0.1250133514404297,0.7633247971534729,0.1227291002869606,1.0,1.0,1.0,0,p00189,79,1,0,0
selected,eval,8,final,othercls_diffcont,c000,-0.12495994567871094,0.7275031208992004,0.11812411993741989,1.0,1.0,1.0,0,p00589,79,1,0,2
constructed,eval,8,final,samecls_samecont,c000,-0.1248321533203125,0.6807341575622559,0.11061995476484299,1.2051012516021729,1.2051012516021729,1.2051012516021729,0,p00188,109,1,0,0
constructed_min,eval,8,final,samecls_samecont,c000,-0.12481117248535156,0.5650413036346436,0.09186288714408875,1.0,1.0,1.0,0,p00188,109,1,0,0
constructed,eval,8,final,othercls_samecont,c000,-0.12497329711914062,0.6791031956672668,0.10980822145938873,1.0160539150238037,1.0160539150238037,1.0160539150238037,0,p00117,108,1,0,0
constructed_min,eval,8,final,othercls_samecont,c000,-0.12491416931152344,0.5658971667289734,0.0915636420249939,0.8431273698806763,0.8431273698806763,0.8431273698806763,0,p00117,108,1,0,0
constructed,eval,8,final,samecls_diffcont,c000,3.24249267578125e-05,0.6811221837997437,0.10960838198661804,0.8920606374740601,0.8920606374740601,0.8920606374740601,0,p00189,79,1,0,0
constructed_min,eval,8,final,samecls_diffcont,c000,6.29425048828125e-05,0.5651252865791321,0.09119691699743271,0.7402370572090149,0.7402370572090149,0.7402370572090149,0,p00189,79,1,0,0
constructed,eval,8,final,othercls_diffcont,c000,-0.1249237060546875,0.681350588798523,0.11040085554122925,0.9389721751213074,0.9389721751213074,0.9389721751213074,0,p00289,79,1,0,0
constructed_min,eval,8,final,othercls_diffcont,c000,-0.12490081787109375,0.5652051568031311,0.09165339916944504,0.7791645526885986,0.7791645526885986,0.7791645526885986,0,p00289,79,1,0,0
unmatched,eval,8,readout,samecls_samecont,c000,-0.37485313415527344,0.9845102429389954,0.12235382199287415,1.0,1.0,1.0,0,p00188,109,46,0,0
unmatched,eval,8,readout,othercls_samecont,c000,-0.9993000030517578,1.0481898784637451,0.13076892495155334,1.0,1.0,1.0,0,p00117,108,46,0,0
unmatched,eval,8,readout,samecls_diffcont,c000,0.0002593994140625,1.2453861236572266,0.15459123253822327,1.0,1.0,1.0,0,p00189,79,46,0,0
unmatched,eval,8,readout,othercls_diffcont,c000,-0.6245174407958984,1.367512583732605,0.16947439312934875,1.0,1.0,1.0,0,p00289,79,46,0,0
selected,eval,8,readout,samecls_samecont,c000,-0.3748054504394531,1.125167965888977,0.1399150788784027,1.0,1.0,1.0,0,p01203,109,46,0,5
selected,eval,8,readout,othercls_samecont,c000,-0.374176025390625,1.134504795074463,0.14147335290908813,1.0,1.0,1.0,0,p00561,108,46,0,5
selected,eval,8,readout,samecls_diffcont,c000,-0.24999237060546875,1.3040491342544556,0.16179147362709045,1.0,1.0,1.0,0,p01014,79,46,0,5
selected,eval,8,readout,othercls_diffcont,c000,-0.9985237121582031,1.2944103479385376,0.16131608188152313,1.0,1.0,1.0,0,p00589,79,46,0,2
constructed,eval,8,readout,samecls_samecont,c000,-0.4997844696044922,1.161423921585083,0.1446056365966797,1.2243696451187134,0.9202892184257507,1.7737559080123901,0,p00188,109,46,0,0
constructed_min,eval,8,readout,samecls_samecont,c000,-0.49970436096191406,0.9535834193229675,0.11882410198450089,0.98240727186203,0.6939907073974609,1.0,0,p00188,109,46,0,0
constructed,eval,8,readout,othercls_samecont,c000,-1.124267578125,1.1612887382507324,0.14429941773414612,1.1136571168899536,0.9237130284309387,1.3260829448699951,0,p00117,108,46,0,0
constructed_min,eval,8,readout,othercls_samecont,c000,-0.8744029998779297,0.9537551999092102,0.118669793009758,0.8994053602218628,0.7006550431251526,1.0,0,p00117,108,46,0,0
constructed,eval,8,readout,samecls_diffcont,c000,0.0001735687255859375,1.161684274673462,0.14411847293376923,0.9216132164001465,0.8274683356285095,1.0979249477386475,0,p00189,79,46,0,0
constructed_min,eval,8,readout,samecls_diffcont,c000,4.1961669921875e-05,0.9535865783691406,0.11847145855426788,0.7489956021308899,0.531595766544342,1.0,0,p00189,79,46,0,0
