layer,direction,mean,lo,hi,n
0,deploy_to_eval,-0.04160722096761068,-0.08742590745290121,0.002124375502268473,60
0,eval_to_deploy,0.027049763997395834,-0.008319176038106283,0.06453373432159423,60
0,unpaired_control,-0.05621191660563151,-0.11450982093811035,0.0020991174379984536,60
2,deploy_to_eval,-0.012424373626708984,-0.08949173609415689,0.0646266746520996,60
2,eval_to_deploy,0.08081391652425131,0.010170172055562336,0.15771484613418577,60
2,unpaired_control,-0.05617052714029948,-0.170700413386027,0.058351983229319254,60
4,deploy_to_eval,-0.05202296574910482,-0.19166612227757773,0.08548112789789834,60
4,eval_to_deploy,0.12682342529296875,0.005671927134195966,0.24571573893229137,60
4,unpaired_control,-0.1541060447692871,-0.337468257745107,0.045841275850931805,60
6,deploy_to_eval,-0.04570935567220052,-0.21250015417734783,0.11674800395965575,60
6,eval_to_deploy,0.21000995635986328,0.06017598549524943,0.3603570159276324,60
6,unpaired_control,-0.02910149892171224,-0.22084245761235555,0.1646577056248983,60
8,deploy_to_eval,-0.5685673077901204,-0.7727676979700725,-0.3684413345654811,60
8,eval_to_deploy,0.5931850751241048,0.4037620488802592,0.7825640392303467,60
8,unpaired_control,-0.6226998011271159,-0.8518935298919678,-0.3954919584592186,60
10,deploy_to_eval,-0.9350724856058756,-1.1768459105491638,-0.6913625812530518,60
10,eval_to_deploy,0.8659937540690105,0.6368324295679728,1.0788156302769973,60
10,unpaired_control,-0.9121558189392089,-1.2727469476064046,-0.5682939815521243,60
12,deploy_to_eval,-1.8555502891540527,-2.2578139670689903,-1.4803446952501935,60
12,eval_to_deploy,1.7011807123819986,1.3410754044850668,2.0639754112561546,60
12,unpaired_control,-1.9369932174682618,-2.522540833950043,-1.4370802028973897,60
14,deploy_to_eval,-1.9428586959838867,-2.3617048621177674,-1.549459954102834,60
14,eval_to_deploy,1.7553392728169759,1.398974090417226,2.122059144973755,60
14,unpaired_control,-2.005589008331299,-2.657641017436981,-1.4474410319328308,60
16,deploy_to_eval,-2.148977756500244,-2.5841256046295165,-1.753072710037232,60
16,eval_to_deploy,2.113636334737142,1.7237982598940533,2.541020220915476,60
16,unpaired_control,-2.1617908477783203,-2.8115953596433,-1.5553305641810105,60
18,deploy_to_eval,-2.136511484781901,-2.577657489776611,-1.7385365645090745,60
18,eval_to_deploy,2.121973260243734,1.7306641936302185,2.555559276739756,60
18,unpaired_control,-2.163840961456299,-2.803750975926717,-1.5618615206082662,60
20,deploy_to_eval,-2.1344716707865397,-2.5640398557980855,-1.7389232071240746,60
20,eval_to_deploy,2.1282289187113443,1.7341957767804463,2.5660624678929644,60
20,unpaired_control,-2.155424690246582,-2.7639820416768393,-1.5861317904790244,60
22,deploy_to_eval,-2.132400957743327,-2.563979602654775,-1.7429881525039672,60
22,eval_to_deploy,2.1344778060913088,1.7364989352226257,2.572244486808777,60
22,unpaired_control,-2.1408581733703613,-2.7369039543469746,-1.5782692790031432,60
24,deploy_to_eval,-2.1302997907002768,-2.5632169286410016,-1.7383155258496605,60
24,eval_to_deploy,2.1303068161010743,1.7343732206026714,2.5696222527821853,60
24,unpaired_control,-2.144945748647054,-2.7428807202974954,-1.588209655284882,60
26,deploy_to_eval,-2.128219159444173,-2.5569576374689738,-1.7348016961415609,60
26,eval_to_deploy,2.113657569885254,1.7135505278905232,2.5554704372088115,60
26,unpaired_control,-2.138685766855876,-2.7385162631670634,-1.5740138880411785,60
28,deploy_to_eval,-2.1365413029988605,-2.5654226756095886,-1.7445088513692222,60
28,eval_to_deploy,2.11989262898763,1.719777640501658,2.5618808301289873,60
28,unpaired_control,-2.149071725209554,-2.7471473582585655,-1.588129593531291,60
30,deploy_to_eval,-2.1282132148742674,-2.5591234453519185,-1.7321166753768926,60
30,eval_to_deploy,2.132384713490804,1.7342360162734984,2.565994658470154,60
30,unpaired_control,-2.1282400449117023,-2.7277733023961384,-1.5724059979120895,60
31,deploy_to_eval,-2.12821782430013,-2.5652512741088866,-1.7345660622914634,60
31,eval_to_deploy,2.12821782430013,1.7345660622914634,2.5652512741088866,60
31,unpaired_control,-2.12821782430013,-2.716378970940908,-1.588460784753164,60
