alpha,framing,condition,layer,layer_tag,content_id,belief,delta,kl,entropy
-8.0,eval,d,4,best,c006,-0.12513160705566406,-0.43677425384521484,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c017,0.3123912811279297,6.771087646484375e-05,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c039,-0.8125152587890625,-0.12502574920654297,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c036,0.43734073638916016,0.18759918212890625,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c009,-2.062427520751953,-0.5625162124633789,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c000,-0.125030517578125,-0.3745994567871094,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c013,2.311534881591797,0.31320858001708984,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c049,0.8748750686645508,-0.37482166290283203,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c058,-0.06262493133544922,0.18745136260986328,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c024,0.8122320175170898,-0.4360237121582031,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c042,-0.18770122528076172,-0.18709087371826172,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c047,0.9994363784790039,-0.061359405517578125,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c043,0.7497014999389648,-0.3119831085205078,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c003,-0.31276798248291016,-0.06198692321777344,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c041,0.5624485015869141,-0.18727397918701172,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c008,-1.4998130798339844,-0.5625343322753906,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c045,2.7487354278564453,-0.18608379364013672,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c011,-0.8751192092895508,-0.5622482299804688,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c020,2.1864585876464844,-0.3737192153930664,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c044,2.623776435852051,0.0009965896606445312,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c016,-0.5000162124633789,-0.3744220733642578,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c056,0.6871709823608398,-0.12500572204589844,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c025,0.43735790252685547,-0.3730621337890625,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c029,-0.18752574920654297,0.12501144409179688,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c014,0.2496662139892578,-0.12453842163085938,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c002,-0.37505245208740234,-0.3747215270996094,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c023,0.8122186660766602,0.3127908706665039,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c046,0.5625667572021484,0.12534809112548828,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c022,0.5622110366821289,-0.06191825866699219,0.024864960461854935,0.7547118067741394
