layer,pair,direction,content_id,delta,baseline,k
0,0,deploy_to_eval,c006,-0.24989700317382812,0.6258411407470703,123
0,0,eval_to_deploy,c006,0.24820518493652344,-2.4941253662109375,123
0,0,unpaired_control,c006,-0.499847412109375,0.6258411407470703,79
2,0,deploy_to_eval,c006,-0.4996452331542969,0.6258411407470703,123
2,0,eval_to_deploy,c006,0.12214088439941406,-2.4941253662109375,123
2,0,unpaired_control,c006,-0.49994850158691406,0.6258411407470703,79
4,0,deploy_to_eval,c006,-0.9991474151611328,0.6258411407470703,123
4,0,eval_to_deploy,c006,0.2464771270751953,-2.4941253662109375,123
4,0,unpaired_control,c006,-0.7497959136962891,0.6258411407470703,79
6,0,deploy_to_eval,c006,-1.248687744140625,0.6258411407470703,123
6,0,eval_to_deploy,c006,0.37131309509277344,-2.4941253662109375,123
6,0,unpaired_control,c006,-0.6249294281005859,0.6258411407470703,79
8,0,deploy_to_eval,c006,-1.6232833862304688,0.6258411407470703,123
8,0,eval_to_deploy,c006,0.8709354400634766,-2.4941253662109375,123
8,0,unpaired_control,c006,-0.7499160766601562,0.6258411407470703,79
10,0,deploy_to_eval,c006,-1.9972572326660156,0.6258411407470703,123
10,0,eval_to_deploy,c006,1.3705253601074219,-2.4941253662109375,123
10,0,unpaired_control,c006,-1.1245594024658203,0.6258411407470703,79
12,0,deploy_to_eval,c006,-2.6212692260742188,0.6258411407470703,123
12,0,eval_to_deploy,c006,2.245189666748047,-2.4941253662109375,123
12,0,unpaired_control,c006,-1.9993515014648438,0.6258411407470703,79
14,0,deploy_to_eval,c006,-2.995298385620117,0.6258411407470703,123
14,0,eval_to_deploy,c006,2.4950180053710938,-2.4941253662109375,123
14,0,unpaired_control,c006,-2.2490100860595703,0.6258411407470703,79
16,0,deploy_to_eval,c006,-3.370107650756836,0.6258411407470703,123
16,0,eval_to_deploy,c006,3.120128631591797,-2.4941253662109375,123
16,0,unpaired_control,c006,-2.624225616455078,0.6258411407470703,79
18,0,deploy_to_eval,c006,-3.120565414428711,0.6258411407470703,123
18,0,eval_to_deploy,c006,3.2450485229492188,-2.4941253662109375,123
18,0,unpaired_control,c006,-2.49957275390625,0.6258411407470703,79
20,0,deploy_to_eval,c006,-3.1205482482910156,0.6258411407470703,123
20,0,eval_to_deploy,c006,3.2450485229492188,-2.4941253662109375,123
20,0,unpaired_control,c006,-2.624401092529297,0.6258411407470703,79
22,0,deploy_to_eval,c006,-3.120229721069336,0.6258411407470703,123
22,0,eval_to_deploy,c006,3.2450504302978516,-2.4941253662109375,123
22,0,unpaired_control,c006,-2.4994983673095703,0.6258411407470703,79
24,0,deploy_to_eval,c006,-3.119892120361328,0.6258411407470703,123
24,0,eval_to_deploy,c006,3.245004653930664,-2.4941253662109375,123
24,0,unpaired_control,c006,-2.4994163513183594,0.6258411407470703,79
26,0,deploy_to_eval,c006,-3.119596481323242,0.6258411407470703,123
26,0,eval_to_deploy,c006,3.120023727416992,-2.4941253662109375,123
26,0,unpaired_control,c006,-2.4994258880615234,0.6258411407470703,79
28,0,deploy_to_eval,c006,-3.244089126586914,0.6258411407470703,123
28,0,eval_to_deploy,c006,3.244945526123047,-2.4941253662109375,123
28,0,unpaired_control,c006,-2.6244029998779297,0.6258411407470703,79
30,0,deploy_to_eval,c006,-3.1191635131835938,0.6258411407470703,123
30,0,eval_to_deploy,c006,3.244943618774414,-2.4941253662109375,123
30,0,unpaired_control,c006,-2.4994335174560547,0.6258411407470703,79
31,0,deploy_to_eval,c006,-3.119966506958008,0.6258411407470703,123
31,0,eval_to_deploy,c006,3.119966506958008,-2.4941253662109375,123
31,0,unpaired_control,c006,-2.4994335174560547,0.6258411407470703,79
0,1,deploy_to_eval,c017,-0.12496757507324219,0.3754692077636719,132
0,1,eval_to_deploy,c017,0.0001010894775390625,-1.8735923767089844,132
0,1,unpaired_control,c017,0.1250171661376953,0.3754692077636719,59
2,1,deploy_to_eval,c017,-0.12495803833007812,0.3754692077636719,132
2,1,eval_to_deploy,c017,0.12484931945800781,-1.8735923767089844,132
2,1,unpaired_control,c017,0.249908447265625,0.3754692077636719,59
4,1,deploy_to_eval,c017,-0.12494277954101562,0.3754692077636719,132
4,1,eval_to_deploy,c017,0.24964141845703125,-1.8735923767089844,132
