direction,layer,alpha,acc,p_correct,belief
d,8,-4.0,0.6666666865348816,0.6629969477653503,-0.8988051414489746
d,8,4.0,0.7083333134651184,0.6615925431251526,0.22346489131450653
style,8,-4.0,0.6666666865348816,0.6320698857307434,-0.28686508536338806
style,8,4.0,0.6666666865348816,0.6337055563926697,-0.25821325182914734
random_0,8,-4.0,0.7083333134651184,0.670194149017334,-0.008413553237915039
random_0,8,4.0,0.625,0.6083146929740906,-0.3623636066913605
random_1,8,-4.0,0.7083333134651184,0.6573120951652527,0.3532125651836395
random_1,8,4.0,0.625,0.6160783171653748,-0.6512913703918457
random_2,8,-4.0,0.6666666865348816,0.6499224305152893,0.17900259792804718
random_2,8,4.0,0.625,0.6316074728965759,-0.5524347424507141
