layer,region,source,content_id,pair,delta,a,b
8,full,paired,c000,0,-0.9993686676025391,108,0
8,readout,paired,c000,0,-0.9993000030517578,46,0
8,task,paired,c000,0,-0.49985694885253906,108,46
8,full,sameclass,c000,0,-0.374786376953125,109,0
8,readout,sameclass,c000,0,-0.37485313415527344,46,0
8,task,sameclass,c000,0,-0.12493896484375,109,46
8,full,unpaired,c000,0,-0.6246738433837891,79,0
8,readout,unpaired,c000,0,-0.6245174407958984,46,0
8,task,unpaired,c000,0,3.814697265625e-05,79,46
8,full,unpaired_eval,c000,0,-0.124603271484375,79,0
8,readout,unpaired_eval,c000,0,0.0002593994140625,46,0
8,task,unpaired_eval,c000,0,0.0001468658447265625,79,46
10,full,paired,c000,0,-1.499237060546875,108,0
10,readout,paired,c000,0,-1.6244430541992188,46,0
10,task,paired,c000,0,-0.24996566772460938,108,46
10,full,sameclass,c000,0,-0.49970054626464844,109,0
10,readout,sameclass,c000,0,-0.3748817443847656,46,0
10,task,sameclass,c000,0,-0.12482261657714844,109,46
10,full,unpaired,c000,0,-0.7498550415039062,79,0
10,readout,unpaired,c000,0,-0.7497653961181641,46,0
10,task,unpaired,c000,0,4.1961669921875e-05,79,46
10,full,unpaired_eval,c000,0,-4.00543212890625e-05,79,0
10,readout,unpaired_eval,c000,0,8.20159912109375e-05,46,0
10,task,unpaired_eval,c000,0,-7.2479248046875e-05,79,46
16,full,paired,c000,0,-2.748798370361328,108,0
16,readout,paired,c000,0,-2.4992923736572266,46,0
16,task,paired,c000,0,0.0002536773681640625,108,46
16,full,sameclass,c000,0,-0.8747901916503906,109,0
16,readout,sameclass,c000,0,-0.8747329711914062,46,0
16,task,sameclass,c000,0,3.0517578125e-05,109,46
16,full,unpaired,c000,0,-0.8748760223388672,79,0
16,readout,unpaired,c000,0,-0.7499141693115234,46,0
16,task,unpaired,c000,0,-5.7220458984375e-06,79,46
16,full,unpaired_eval,c000,0,-0.12514305114746094,79,0
16,readout,unpaired_eval,c000,0,-0.25003814697265625,46,0
16,task,unpaired_eval,c000,0,-9.5367431640625e-05,79,46
8,full,paired,c002,1,-0.3748760223388672,102,0
8,readout,paired,c002,1,-0.49987030029296875,46,0
8,task,paired,c002,1,1.33514404296875e-05,102,46
8,full,sameclass,c002,1,-0.8748493194580078,102,0
8,readout,sameclass,c002,1,-0.6247444152832031,46,0
8,task,sameclass,c002,1,-0.25002479553222656,102,46
8,full,unpaired,c002,1,-0.7493877410888672,79,0
8,readout,unpaired,c002,1,-0.6246738433837891,46,0
8,task,unpaired,c002,1,-0.3749275207519531,79,46
8,full,unpaired_eval,c002,1,-0.4998664855957031,79,0
8,readout,unpaired_eval,c002,1,-0.24999618530273438,46,0
8,task,unpaired_eval,c002,1,-0.12499237060546875,79,46
10,full,paired,c002,1,-0.624847412109375,102,0
10,readout,paired,c002,1,-0.8748073577880859,46,0
10,task,paired,c002,1,5.7220458984375e-05,102,46
10,full,sameclass,c002,1,-0.8747444152832031,102,0
10,readout,sameclass,c002,1,-0.8747310638427734,46,0
10,task,sameclass,c002,1,-0.2499675750732422,102,46
10,full,unpaired,c002,1,-1.7459068298339844,79,0
10,readout,unpaired,c002,1,-1.4996662139892578,46,0
10,task,unpaired,c002,1,-0.24973678588867188,79,46
10,full,unpaired_eval,c002,1,-0.24979400634765625,79,0
10,readout,unpaired_eval,c002,1,-0.49992942810058594,46,0
