layer,region,source,mean,lo,hi
8,full,paired,-0.6123496373494466,-0.8872559976577759,-0.3621590232849127
8,full,sameclass,-0.13752142588297525,-0.3790415096282959,0.08737194697062174
8,full,unpaired,-0.6873785654703776,-0.9415375407536825,-0.4080121310551967
8,full,unpaired_eval,-0.041646385192871095,-0.39576424916585284,0.333292826016744
8,readout,paired,-0.5957019170125325,-0.8790403540929159,-0.32907580534617104
8,readout,sameclass,-0.13339627583821614,-0.37086339632670084,0.09976414362589517
8,readout,unpaired,-0.6165823618570964,-0.8833237663904826,-0.34584379514058433
8,readout,unpaired_eval,-0.05836041768391927,-0.41666706085205074,0.3376562293370559
8,task,paired,-0.09165191650390625,-0.24155191739400228,0.0374169365564982
8,task,sameclass,0.04165859222412109,-0.06668700695037842,0.14996531009674072
8,task,unpaired,-0.024997456868489584,-0.17912495613098142,0.16249927679697673
8,task,unpaired_eval,0.02511456807454427,-0.13737643082936604,0.21289465745290068
10,full,paired,-1.0080211639404297,-1.362357316017151,-0.691367818514506
10,full,sameclass,-0.24997628529866536,-0.5457877874374389,0.02519077618916773
10,full,unpaired,-1.0871602376302083,-1.4912159538269043,-0.7080803235371907
10,full,unpaired_eval,-0.054176076253255205,-0.47935372829437256,0.35846766789754175
10,readout,paired,-1.0164945602416993,-1.366428599357605,-0.6996323839823411
10,readout,sameclass,-0.1875772476196289,-0.4750612211227417,0.09157041072845458
10,readout,unpaired,-1.0498562494913737,-1.3830861488978068,-0.7083260599772135
10,readout,unpaired_eval,-0.06249192555745443,-0.4667342027028402,0.3833353058497111
10,task,paired,-0.04581584930419922,-0.19995687007904053,0.09583586692810059
10,task,sameclass,-0.024975077311197916,-0.10820325851440431,0.05416560331980387
10,task,unpaired,-0.012430508931477865,-0.20402539412180581,0.22502362887064617
10,task,unpaired_eval,0.10835590362548828,-0.08348482608795164,0.33324642340342203
16,full,paired,-2.2616402308146157,-2.932219066619873,-1.653089809417725
16,full,sameclass,-0.19158490498860678,-0.7124332348505656,0.3499551693598429
16,full,unpaired,-2.2742270787556964,-3.033018822669983,-1.56600017229716
16,full,unpaired_eval,-0.02497889200846354,-0.5834919007619223,0.5585866467157988
16,readout,paired,-2.1909788767496745,-2.86165457089742,-1.5867044607798264
16,readout,sameclass,-0.18324031829833984,-0.7122371053695679,0.35843548774719236
16,readout,unpaired,-2.2077433904012045,-2.9787086486816405,-1.5286881240208945
16,readout,unpaired_eval,-0.06664307912190755,-0.6375138743718465,0.5376873302459706
16,task,paired,-0.008265368143717448,-0.04575438340504964,0.02914995988210042
16,task,sameclass,-0.008337847391764323,-0.04162838459014893,0.020815372467041012
16,task,unpaired,-0.008291244506835938,-0.0624331267674764,0.04172971407572428
16,task,unpaired_eval,-0.004162724812825521,-0.05827052116394043,0.0500135596593221
