layer,region,effect,mean,lo,hi
8,full,class,-0.560280195871989,-0.7456474320093791,-0.3832100303967794
8,full,content,0.010423056284586589,-0.30620216608047485,0.33145189046859685
8,readout,class,-0.5102637926737468,-0.6728594819704692,-0.34781961917877197
8,readout,content,0.027077706654866536,-0.21895680904388426,0.2751051473617551
8,task,class,-0.0917112668355306,-0.18331486781438192,-0.006391896406809501
8,task,content,0.02505521774291992,-0.1437979245185852,0.21679671843846612
10,full,class,-0.8955145200093587,-1.0850789205233256,-0.7058225369453432
10,full,content,0.058330567677815755,-0.4060508831342061,0.4917442218462623
10,readout,class,-0.9081408182779948,-1.110221095085144,-0.7226714507738752
10,readout,content,0.04586181640625,-0.2980142307281494,0.3750007510185242
10,task,class,-0.07081359227498372,-0.1582932162284851,0.014492464065551753
10,task,content,0.08335816065470378,-0.09589082400004068,0.2917142732938128
16,full,class,-2.159651756286621,-2.553532718817393,-1.780665697256724
16,full,content,0.07700958251953124,-0.5354903038342793,0.6583126886685684
16,readout,class,-2.0744194348653155,-2.4723187565803526,-1.6891007280349732
16,readout,content,0.04991636276245117,-0.5500876267751058,0.6187499030431104
16,task,class,-0.002028020222981771,-0.03323001225789388,0.02917843659718831
16,task,content,0.0020746231079101563,-0.04375624497731526,0.047900934219360355
