direction,alpha,content_id,belief,delta
d,-1.0,c041,0.43729591369628906,-0.24989891052246094
d,-1.0,c006,0.1866779327392578,-0.12496471405029297
d,-1.0,c039,-0.9374780654907227,-0.24998855590820312
d,-1.0,c017,0.18733692169189453,-0.12498664855957031
d,-1.0,c058,-0.4999656677246094,-0.24991130828857422
d,-1.0,c002,-0.1877307891845703,-0.31233978271484375
d,-1.0,c024,1.0610160827636719,-0.12451553344726562
d,-1.0,c023,0.4993724822998047,-0.06250286102294922
d,-1.0,c022,0.4991264343261719,-0.1873464584350586
d,-1.0,c056,0.6871957778930664,-0.12498092651367188
d,-1.0,c029,-0.49996471405029297,-0.18742752075195312
d,-1.0,c025,0.6232080459594727,-0.1872119903564453
d,-1.0,c000,0.18690204620361328,-0.00014209747314453125
d,-1.0,c036,0.2496967315673828,-5.817413330078125e-05
d,-1.0,c020,2.497635841369629,-0.1248617172241211
d,-1.0,c011,-0.5627050399780273,-0.1873798370361328
d,-1.0,c003,-0.3757820129394531,-0.18746376037597656
d,-1.0,c045,2.809955596923828,-0.1248636245727539
d,-1.0,c046,0.3121833801269531,-0.12501239776611328
d,-1.0,c044,2.497605323791504,-0.12517452239990234
d,-1.0,c008,-1.0622358322143555,-0.18740558624267578
d,-1.0,c049,1.124680519104004,-0.1250162124633789
d,-1.0,c013,1.998300552368164,-2.574920654296875e-05
d,-1.0,c042,-0.1879873275756836,-0.06250667572021484
d,-1.0,c009,-1.8123979568481445,-0.24997901916503906
d,-1.0,c047,0.7484502792358398,-0.3122215270996094
d,-1.0,c050,0.49950695037841797,-0.06258678436279297
d,-1.0,c043,0.9992475509643555,-0.12505149841308594
d,-1.0,c016,-0.31285858154296875,-0.12493133544921875
d,-1.0,c014,0.24928569793701172,-0.12499332427978516
d,-1.0,c041,0.9370441436767578,-0.2499561309814453
d,-1.0,c006,-0.25119876861572266,-0.18743896484375
d,-1.0,c039,-0.8123397827148438,-0.24994945526123047
d,-1.0,c017,0.43666934967041016,-0.18745136260986328
d,-1.0,c058,-1.3747453689575195,-0.1874837875366211
d,-1.0,c002,-0.43764591217041016,-0.12483501434326172
d,-1.0,c024,1.4967241287231445,-0.12458229064941406
d,-1.0,c023,0.7496547698974609,-0.06254959106445312
d,-1.0,c022,1.3745880126953125,-0.06261444091796875
d,-1.0,c056,-0.1880950927734375,-0.18752765655517578
d,1.0,c041,0.749791145324707,0.06259632110595703
d,1.0,c006,0.4992561340332031,0.18761348724365234
d,1.0,c039,-0.43750572204589844,0.2499837875366211
d,1.0,c017,0.37486934661865234,0.0625457763671875
d,1.0,c058,0.06233692169189453,0.3123912811279297
d,1.0,c002,0.1871185302734375,0.06250953674316406
d,1.0,c024,1.3726272583007812,0.18709564208984375
d,1.0,c023,0.5618152618408203,-6.008148193359375e-05
d,1.0,c022,0.686589241027832,0.0001163482666015625
d,1.0,c056,0.8122386932373047,6.198883056640625e-05
d,1.0,c029,-0.2500133514404297,0.06252384185791016
d,1.0,c025,0.9352445602416992,0.12482452392578125
d,1.0,c000,0.24950695037841797,0.062462806701660156
d,1.0,c036,0.31223583221435547,0.062480926513671875
d,1.0,c020,2.56038761138916,-0.062109947204589844
d,1.0,c011,-0.3126716613769531,0.0626535415649414
d,1.0,c003,-0.125762939453125,0.06255531311035156
d,1.0,c045,2.8723506927490234,-0.062468528747558594
d,1.0,c046,0.5621757507324219,0.12497997283935547
d,1.0,c044,2.5604658126831055,-0.06231403350830078
d,1.0,c008,-0.7498273849487305,0.12500286102294922
d,1.0,c049,1.4371986389160156,0.1875019073486328
d,1.0,c013,2.060953140258789,0.06262683868408203
d,1.0,c042,-0.0006237030029296875,0.12485694885253906
d,1.0,c009,-1.3749303817749023,0.18748855590820312
d,1.0,c047,1.310776710510254,0.2501049041748047
d,1.0,c050,0.687129020690918,0.12503528594970703
d,1.0,c043,1.124124526977539,-0.00017452239990234375
d,1.0,c016,-0.0005464553833007812,0.18738079071044922
d,1.0,c014,0.37435436248779297,7.534027099609375e-05
d,1.0,c041,1.3120784759521484,0.1250782012939453
d,1.0,c006,0.18596458435058594,0.2497243881225586
d,1.0,c039,-0.4999217987060547,0.062468528747558594
d,1.0,c017,0.6867733001708984,0.062652587890625
d,1.0,c058,-0.9373140335083008,0.24994754791259766
d,1.0,c002,-0.25030517578125,0.06250572204589844
d,1.0,c024,1.5587844848632812,-0.06252193450927734
