layer,held_out,auc
0,subtle_exam_format,0.9279938271604938
1,subtle_exam_format,0.9636728395061728
2,subtle_exam_format,0.9949074074074074
3,subtle_exam_format,0.9679320987654321
4,subtle_exam_format,0.9746913580246914
5,subtle_exam_format,0.9888271604938271
6,subtle_exam_format,0.997067901234568
7,subtle_exam_format,0.9951234567901235
8,subtle_exam_format,0.9859567901234567
9,subtle_exam_format,0.9853086419753087
10,subtle_exam_format,0.9903395061728395
11,subtle_exam_format,0.9708333333333332
12,subtle_exam_format,0.9612962962962963
13,subtle_exam_format,0.9387345679012346
14,subtle_exam_format,0.9250617283950617
15,subtle_exam_format,0.9462654320987653
16,subtle_exam_format,0.9229012345679013
17,subtle_exam_format,0.8881790123456791
18,subtle_exam_format,0.9033950617283951
19,subtle_exam_format,0.9304629629629629
20,subtle_exam_format,0.9217901234567901
21,subtle_exam_format,0.9220370370370371
22,subtle_exam_format,0.9391666666666666
23,subtle_exam_format,0.9224691358024691
24,subtle_exam_format,0.8986728395061728
25,subtle_exam_format,0.8998148148148148
26,subtle_exam_format,0.8974691358024692
27,subtle_exam_format,0.9070370370370371
28,subtle_exam_format,0.9268827160493827
29,subtle_exam_format,0.9355864197530865
30,subtle_exam_format,0.9514506172839505
31,subtle_exam_format,0.9473765432098766
