layer,cv_acc,cv_auc,test_auc
0,0.8580246913580247,0.9471913580246915,0.8220925925925926
1,0.9456790123456791,0.9825308641975308,0.8765123456790125
2,0.9814814814814815,0.9996913580246914,0.9265740740740741
3,0.9864197530864198,0.9992283950617284,0.9575617283950617
4,0.9901234567901234,0.9985802469135802,0.9466419753086419
5,0.9938271604938272,0.9999382716049382,0.9480679012345679
6,0.9888888888888889,0.9992283950617284,0.9629197530864197
7,0.9950617283950617,1.0,0.9705617283950617
8,0.9888888888888889,1.0,0.9578580246913581
9,0.9814814814814815,1.0,0.9705925925925925
10,0.9851851851851852,0.9999074074074074,0.9662037037037038
11,0.9851851851851852,0.999753086419753,0.9729382716049383
12,0.9901234567901234,0.9992592592592594,0.9805679012345679
13,0.9901234567901234,0.9991358024691358,0.9595555555555556
14,0.982716049382716,0.9985802469135804,0.9563765432098765
15,0.9765432098765432,0.9958333333333332,0.9716851851851852
16,0.9814814814814815,0.9984567901234568,0.9631913580246914
17,0.9679012345679012,0.9938580246913581,0.940462962962963
18,0.9679012345679012,0.9906172839506173,0.933253086419753
19,0.951851851851852,0.9862962962962962,0.9356728395061727
20,0.9259259259259259,0.9801851851851853,0.9161172839506173
21,0.9271604938271606,0.9812345679012345,0.9164074074074073
22,0.9246913580246913,0.978425925925926,0.8845802469135803
23,0.9271604938271605,0.9724999999999999,0.8701049382716048
24,0.930864197530864,0.9721296296296295,0.8506604938271605
25,0.9345679012345679,0.9833950617283952,0.8313148148148148
26,0.9493827160493827,0.9910493827160494,0.8322160493827161
27,0.962962962962963,0.994506172839506,0.8434814814814815
28,0.9703703703703704,0.9963580246913579,0.8631790123456791
29,0.9691358024691358,0.9972839506172841,0.8981728395061728
30,0.9703703703703702,0.9971296296296297,0.8957654320987655
31,0.9666666666666666,0.9958024691358025,0.7913518518518519
