dst_cls,layer,region,source,content_id,delta,dist,a,b,kk
eval,16,task,samecls_samecont,c000,0.007080078125,18.35886001586914,115,44,115
eval,16,question,samecls_samecont,c000,-0.0788116455078125,13.7266845703125,44,1,115
eval,16,final,samecls_samecont,c000,0.08415031433105469,9.10120964050293,1,0,115
eval,16,readout,samecls_samecont,c000,0.0072498321533203125,13.621560096740723,44,0,115
eval,28,task,samecls_samecont,c000,0.008853912353515625,90.65098571777344,115,44,115
eval,28,question,samecls_samecont,c000,0.0008602142333984375,70.26355743408203,44,1,115
eval,28,final,samecls_samecont,c000,0.06846427917480469,36.89704895019531,1,0,115
eval,28,readout,samecls_samecont,c000,0.07360076904296875,69.5052261352539,44,0,115
eval,16,task,othercls_samecont,c000,-0.03770256042480469,23.984498977661133,111,44,111
eval,16,question,othercls_samecont,c000,-0.1409912109375,15.044439315795898,44,1,111
eval,16,final,othercls_samecont,c000,0.10597801208496094,9.639341354370117,1,0,111
eval,16,readout,othercls_samecont,c000,-0.02410125732421875,14.921594619750977,44,0,111
eval,28,task,othercls_samecont,c000,-0.03397369384765625,131.27378845214844,111,44,111
eval,28,question,othercls_samecont,c000,-0.0064296722412109375,71.65943908691406,44,1,111
eval,28,final,othercls_samecont,c000,-0.009754180908203125,36.389461517333984,1,0,111
eval,28,readout,othercls_samecont,c000,-0.008806228637695312,70.85784912109375,44,0,111
eval,16,task,samecls_diffcont,c000,-0.062000274658203125,24.0173282623291,74,44,74
eval,16,question,samecls_diffcont,c000,-0.13509368896484375,13.289460182189941,44,1,74
eval,16,final,samecls_diffcont,c000,-0.14261817932128906,8.203706741333008,1,0,74
eval,16,readout,samecls_diffcont,c000,-0.2813587188720703,13.173873901367188,44,0,74
eval,28,task,samecls_diffcont,c000,0.0027103424072265625,127.64368438720703,74,44,74
eval,28,question,samecls_diffcont,c000,-0.02620697021484375,64.63452911376953,44,1,74
eval,28,final,samecls_diffcont,c000,-0.2735710144042969,34.19279479980469,1,0,74
eval,28,readout,samecls_diffcont,c000,-0.3023567199707031,63.94267654418945,44,0,74
eval,16,task,othercls_diffcont,c000,-0.04731559753417969,24.00655174255371,74,44,74
eval,16,question,othercls_diffcont,c000,0.08225440979003906,15.079041481018066,44,1,74
eval,16,final,othercls_diffcont,c000,-0.025465011596679688,8.941428184509277,1,0,74
eval,16,readout,othercls_diffcont,c000,0.07062911987304688,14.939550399780273,44,0,74
eval,28,task,othercls_diffcont,c000,0.0047931671142578125,109.82775115966797,74,44,74
eval,28,question,othercls_diffcont,c000,-0.005191802978515625,74.66946411132812,44,1,74
eval,28,final,othercls_diffcont,c000,0.149810791015625,38.30637741088867,1,0,74
eval,28,readout,othercls_diffcont,c000,0.14430809020996094,73.84303283691406,44,0,74
