layer,direction,mean,lo,hi,n
0,deploy_to_eval,-0.0018937110900878907,-0.008963590463002524,0.004414613246917723,60
0,eval_to_deploy,-0.0028377850850423176,-0.009252232710520426,0.004377018610636392,60
0,unpaired_control,-2.819697062174479e-05,-0.015379168192545572,0.016232515176137278,60
2,deploy_to_eval,0.012066841125488281,-0.008467509746551513,0.035300211111704505,60
2,eval_to_deploy,-0.015063254038492839,-0.030241283575693768,0.0004945826530456493,60
2,unpaired_control,0.020395851135253905,-0.019935518900553385,0.05755829175313314,60
4,deploy_to_eval,-0.004526869455973307,-0.027877155939737955,0.01874313672383626,60
4,eval_to_deploy,0.029887644449869792,0.003753106594085694,0.05718713998794554,60
4,unpaired_control,-0.009580866495768229,-0.051153771082560216,0.03322685956954952,60
6,deploy_to_eval,0.00028324127197265625,-0.04149229208628337,0.04160528421401974,60
6,eval_to_deploy,0.049793084462483726,0.002899027665456136,0.09860219796498612,60
6,unpaired_control,0.030938116709391277,-0.04175517559051514,0.10894243955612179,60
8,deploy_to_eval,0.041498851776123044,-0.01027816375096639,0.09077035506566362,60
8,eval_to_deploy,0.07525469462076823,0.02062103827794393,0.13250708738962802,60
8,unpaired_control,0.06307849884033204,-0.03741666555404663,0.17013057549794514,60
10,deploy_to_eval,-0.09905942281087239,-0.1579609227180481,-0.038002800941467386,60
10,eval_to_deploy,0.11614548365275065,0.054535373846689855,0.1779235561688741,60
10,unpaired_control,-0.08203153610229492,-0.19334156354268392,0.030496033032735168,60
12,deploy_to_eval,-0.15669180552164713,-0.22819636742273966,-0.08417130470275895,60
12,eval_to_deploy,0.1508710225423177,0.0784289518992106,0.22178001960118604,60
12,unpaired_control,-0.15752776463826498,-0.2682995382944743,-0.042725587685902976,60
14,deploy_to_eval,-0.21200828552246093,-0.29912171999613446,-0.12821927865346278,60
14,eval_to_deploy,0.20472583770751954,0.12045681158701578,0.29114585320154807,60
14,unpaired_control,-0.2316644032796224,-0.3627673363685608,-0.09822270870208753,60
16,deploy_to_eval,-0.29269059499104816,-0.39349573850631714,-0.19403057654698694,60
16,eval_to_deploy,0.2591929753621419,0.16589829047520957,0.353673428694407,60
16,unpaired_control,-0.29147542317708336,-0.4285580555597941,-0.15827608982721966,60
18,deploy_to_eval,-0.30625422795613605,-0.4069823265075684,-0.20856317679087327,60
18,eval_to_deploy,0.29094648361206055,0.19684166034062703,0.38825291077295937,60
18,unpaired_control,-0.297428035736084,-0.43431103388468423,-0.16020840247472162,60
20,deploy_to_eval,-0.3067172050476074,-0.4104121685028076,-0.20665810267130538,60
20,eval_to_deploy,0.3040097872416178,0.20558063030242918,0.4045370586713155,60
20,unpaired_control,-0.3015233039855957,-0.43775736808776855,-0.1608641544977824,60
22,deploy_to_eval,-0.31329609553019205,-0.41648443778355915,-0.21275150934855144,60
22,eval_to_deploy,0.311419677734375,0.21209976355234783,0.4124118908246357,60
22,unpaired_control,-0.3093149503072103,-0.44788925727208456,-0.1693599669138591,60
24,deploy_to_eval,-0.31351502736409503,-0.4184752249717712,-0.2136703141530355,60
24,eval_to_deploy,0.3149060567220052,0.21406717618306476,0.4199052254358927,60
24,unpaired_control,-0.30991477966308595,-0.44629963556925456,-0.1684232338269552,60
26,deploy_to_eval,-0.31619297663370766,-0.4197351876894633,-0.21644717693328858,60
26,eval_to_deploy,0.3201035181681315,0.22024491548538208,0.424166182676951,60
26,unpaired_control,-0.3139294306437174,-0.450189573764801,-0.17406174182891862,60
28,deploy_to_eval,-0.31926450729370115,-0.4232558250427246,-0.22069607814153044,60
28,eval_to_deploy,0.32149842580159504,0.2222103786468506,0.4259858226776122,60
28,unpaired_control,-0.3171280860900879,-0.45372130552927653,-0.17864430427551273,60
30,deploy_to_eval,-0.30531737009684246,-0.4082212233543396,-0.20839225689570112,60
30,eval_to_deploy,0.3079652786254883,0.21106091181437173,0.4101259541511535,60
30,unpaired_control,-0.3058185577392578,-0.4402622413635254,-0.16777316888173435,60
31,deploy_to_eval,-0.31348247528076173,-0.41663997968037925,-0.216613028049469,60
31,eval_to_deploy,0.31348247528076173,0.216613028049469,0.41663997968037914,60
31,unpaired_control,-0.31348247528076173,-0.45105432510375976,-0.1753660027186077,60
