layer,framing,mean,lo,hi,n
0,eval,0.02272664705912272,0.017404627402623496,0.02820767601331075,60
0,deploy,-0.011718336741129558,-0.014975235859553019,-0.008532055616378785,60
2,eval,0.09277729988098145,0.07668959617614746,0.10706134994824726,60
2,deploy,0.02540699640909831,0.00852574348449707,0.04170460780461629,60
4,eval,0.1649147828420003,0.1168224024772644,0.21631160100301097,60
4,deploy,0.015107425053914388,-0.008999996980031332,0.036912974516550685,60
6,eval,0.15199977556864422,0.11643599867820739,0.1903989247481028,60
6,deploy,-0.07327911059061686,-0.10413694183031717,-0.041823023955027315,60
8,eval,-0.212006139755249,-0.24730556885401409,-0.17859217723210663,60
8,deploy,-0.11734552383422851,-0.1447569247086843,-0.08819970766703289,60
10,eval,0.188295316696167,0.15472153385480245,0.22440089265505472,60
10,deploy,-0.24721323649088542,-0.2771791326999664,-0.22007959564526874,60
12,eval,0.15650529861450196,0.11670366088549296,0.1931430661678314,60
12,deploy,0.09494171142578126,0.044442062775293986,0.1464985084533691,60
14,eval,-0.2714304288228353,-0.29244253039360046,-0.25056513627370197,60
14,deploy,0.11047245661417643,0.08716910322507222,0.13652831236521398,60
16,eval,0.32859292030334475,0.31287686626116434,0.3438779246807098,60
16,deploy,-0.29100933074951174,-0.31801109870274863,-0.2635771397749583,60
18,eval,0.17719930013020832,0.1697066291173299,0.18407589276631675,60
18,deploy,-0.11764001846313477,-0.12657657901446026,-0.10857915123303732,60
20,eval,-0.014241043726603191,-0.021819783051808674,-0.007316200335820519,60
20,deploy,-0.02615502675374349,-0.0327451229095459,-0.0197494920094808,60
22,eval,0.01901275316874186,0.01674094796180725,0.021301580667495722,60
22,deploy,-3.286997477213542e-05,-0.0027135558923085533,0.002948205073674518,60
24,eval,0.04225441614786784,0.038603200912475585,0.045841527382532755,60
24,deploy,-0.017320696512858072,-0.020229483445485433,-0.014244407415390015,60
26,eval,0.031559117635091144,0.028878587086995443,0.03417601625124614,60
26,deploy,-0.025482861200968425,-0.030079493522644045,-0.020824915965398153,60
28,eval,0.01480100949605306,0.01312767187754313,0.01655117392539978,60
28,deploy,-0.023891210556030273,-0.026904561122258506,-0.020946943362553913,60
30,eval,-0.006035820643107096,-0.007899241844813028,-0.004063117106755575,60
30,deploy,-0.008013757069905598,-0.010550414721171061,-0.005639667113622031,60
31,eval,0.019212373097737632,0.01563839276631673,0.02247105042139689,60
31,deploy,0.011272684733072916,0.006551520824432373,0.01586631377538044,60
