layer,pair,direction,content_id,delta,baseline,k
0,0,deploy_to_eval,c006,0.00453948974609375,-1.189422607421875,123
0,0,eval_to_deploy,c006,-0.0001049041748046875,-1.3155174255371094,123
0,0,unpaired_control,c006,0.0004444122314453125,-1.189422607421875,74
2,0,deploy_to_eval,c006,-0.06308937072753906,-1.189422607421875,123
2,0,eval_to_deploy,c006,0.0789947509765625,-1.3155174255371094,123
2,0,unpaired_control,c006,0.05377006530761719,-1.189422607421875,74
4,0,deploy_to_eval,c006,-0.031749725341796875,-1.189422607421875,123
4,0,eval_to_deploy,c006,-0.048694610595703125,-1.3155174255371094,123
4,0,unpaired_control,c006,0.28830909729003906,-1.189422607421875,74
6,0,deploy_to_eval,c006,0.2810630798339844,-1.189422607421875,123
6,0,eval_to_deploy,c006,-0.10190582275390625,-1.3155174255371094,123
6,0,unpaired_control,c006,0.5930538177490234,-1.189422607421875,74
8,0,deploy_to_eval,c006,0.22143936157226562,-1.189422607421875,123
8,0,eval_to_deploy,c006,-0.06423377990722656,-1.3155174255371094,123
8,0,unpaired_control,c006,0.7321643829345703,-1.189422607421875,74
10,0,deploy_to_eval,c006,-0.15065956115722656,-1.189422607421875,123
10,0,eval_to_deploy,c006,0.08806228637695312,-1.3155174255371094,123
10,0,unpaired_control,c006,0.11071014404296875,-1.189422607421875,74
12,0,deploy_to_eval,c006,-0.03629875183105469,-1.189422607421875,123
12,0,eval_to_deploy,c006,0.017217636108398438,-1.3155174255371094,123
12,0,unpaired_control,c006,0.19973182678222656,-1.189422607421875,74
14,0,deploy_to_eval,c006,0.054813385009765625,-1.189422607421875,123
14,0,eval_to_deploy,c006,0.009990692138671875,-1.3155174255371094,123
14,0,unpaired_control,c006,0.23805999755859375,-1.189422607421875,74
16,0,deploy_to_eval,c006,-0.026315689086914062,-1.189422607421875,123
16,0,eval_to_deploy,c006,0.056140899658203125,-1.3155174255371094,123
16,0,unpaired_control,c006,0.3368988037109375,-1.189422607421875,74
18,0,deploy_to_eval,c006,-0.0562744140625,-1.189422607421875,123
18,0,eval_to_deploy,c006,0.08449745178222656,-1.3155174255371094,123
18,0,unpaired_control,c006,0.41251373291015625,-1.189422607421875,74
20,0,deploy_to_eval,c006,-0.0638580322265625,-1.189422607421875,123
20,0,eval_to_deploy,c006,0.09208869934082031,-1.3155174255371094,123
20,0,unpaired_control,c006,0.42029571533203125,-1.189422607421875,74
22,0,deploy_to_eval,c006,-0.06486892700195312,-1.189422607421875,123
22,0,eval_to_deploy,c006,0.0908966064453125,-1.3155174255371094,123
22,0,unpaired_control,c006,0.42466163635253906,-1.189422607421875,74
24,0,deploy_to_eval,c006,-0.09565162658691406,-1.189422607421875,123
24,0,eval_to_deploy,c006,0.11378097534179688,-1.3155174255371094,123
24,0,unpaired_control,c006,0.4362049102783203,-1.189422607421875,74
26,0,deploy_to_eval,c006,-0.08959388732910156,-1.189422607421875,123
26,0,eval_to_deploy,c006,0.10387802124023438,-1.3155174255371094,123
26,0,unpaired_control,c006,0.41281700134277344,-1.189422607421875,74
28,0,deploy_to_eval,c006,-0.09695243835449219,-1.189422607421875,123
28,0,eval_to_deploy,c006,0.10361480712890625,-1.3155174255371094,123
