layer,framing,alpha,content_id,delta
0,eval,-4.0,c006,0.02608776092529297
0,eval,-4.0,c017,0.035872459411621094
0,eval,-4.0,c039,0.018125534057617188
0,eval,-4.0,c036,0.015562057495117188
0,eval,-4.0,c009,0.021467208862304688
0,eval,-4.0,c000,0.006760597229003906
0,eval,-4.0,c013,0.07195568084716797
0,eval,-4.0,c049,0.028679847717285156
0,eval,-4.0,c058,0.07890987396240234
0,eval,-4.0,c024,0.026597976684570312
0,eval,-4.0,c042,0.012030601501464844
0,eval,-4.0,c047,0.048026084899902344
0,eval,-4.0,c043,0.05350685119628906
0,eval,-4.0,c003,0.019385337829589844
0,eval,-4.0,c041,0.02618885040283203
0,eval,-4.0,c008,0.005297660827636719
0,eval,-4.0,c045,0.050278663635253906
0,eval,-4.0,c011,0.023683547973632812
0,eval,-4.0,c020,0.044007301330566406
0,eval,-4.0,c044,0.03566741943359375
0,eval,-4.0,c016,0.030501365661621094
0,eval,-4.0,c056,-0.00734710693359375
0,eval,-4.0,c025,0.032176971435546875
0,eval,-4.0,c029,-0.0065326690673828125
0,eval,-4.0,c014,0.055052757263183594
0,eval,-4.0,c002,0.006562232971191406
0,eval,-4.0,c023,0.0005626678466796875
0,eval,-4.0,c046,0.015838623046875
0,eval,-4.0,c022,0.02350902557373047
0,eval,-4.0,c050,-0.02416229248046875
0,eval,-4.0,c006,0.02012157440185547
0,eval,-4.0,c017,0.038680076599121094
0,eval,-4.0,c039,0.009572982788085938
0,eval,-4.0,c036,0.019039154052734375
0,eval,-4.0,c009,0.015093803405761719
0,eval,-4.0,c000,0.007052421569824219
0,eval,-4.0,c013,0.03945350646972656
0,eval,-4.0,c049,-0.012021064758300781
0,eval,-4.0,c058,0.028812408447265625
0,eval,-4.0,c024,-0.0021390914916992188
0,eval,-4.0,c042,0.046573638916015625
0,eval,-4.0,c047,0.044597625732421875
0,eval,-4.0,c043,0.0017919540405273438
0,eval,-4.0,c003,0.010211944580078125
0,eval,-4.0,c041,0.03588581085205078
0,eval,-4.0,c008,-0.0071582794189453125
0,eval,-4.0,c045,0.016305923461914062
0,eval,-4.0,c011,0.02118396759033203
0,eval,-4.0,c020,0.004852294921875
0,eval,-4.0,c044,0.015328407287597656
0,eval,-4.0,c016,0.0023088455200195312
0,eval,-4.0,c056,0.03340435028076172
0,eval,-4.0,c025,0.009029388427734375
0,eval,-4.0,c029,0.04205894470214844
0,eval,-4.0,c014,0.05898094177246094
0,eval,-4.0,c002,-0.006697654724121094
0,eval,-4.0,c023,0.03668689727783203
0,eval,-4.0,c046,0.024779319763183594
0,eval,-4.0,c022,0.021867752075195312
0,eval,-4.0,c050,0.013688087463378906
0,deploy,4.0,c006,-0.020316123962402344
0,deploy,4.0,c017,-0.013710975646972656
0,deploy,4.0,c039,-0.027805328369140625
0,deploy,4.0,c036,-0.026694297790527344
0,deploy,4.0,c009,0.0017452239990234375
0,deploy,4.0,c000,-0.0027704238891601562
0,deploy,4.0,c013,-0.04796791076660156
0,deploy,4.0,c049,0.0015697479248046875
0,deploy,4.0,c058,-0.006458282470703125
0,deploy,4.0,c024,-0.025495529174804688
0,deploy,4.0,c042,-0.005397796630859375
0,deploy,4.0,c047,-0.03442192077636719
0,deploy,4.0,c043,-0.0004482269287109375
0,deploy,4.0,c003,0.00353240966796875
0,deploy,4.0,c041,-0.014065742492675781
0,deploy,4.0,c008,-0.026092529296875
0,deploy,4.0,c045,-0.0017232894897460938
0,deploy,4.0,c011,-0.023406028747558594
0,deploy,4.0,c020,-0.0065021514892578125
0,deploy,4.0,c044,0.008860588073730469
0,deploy,4.0,c016,-0.0051364898681640625
0,deploy,4.0,c056,-0.012221336364746094
0,deploy,4.0,c025,-0.023461341857910156
0,deploy,4.0,c029,0.004094123840332031
0,deploy,4.0,c014,-0.009850502014160156
0,deploy,4.0,c002,0.0037260055541992188
0,deploy,4.0,c023,-0.02547931671142578
0,deploy,4.0,c046,-0.019243240356445312
0,deploy,4.0,c022,-0.011015892028808594
0,deploy,4.0,c050,-0.004010200500488281
0,deploy,4.0,c006,0.0044879913330078125
0,deploy,4.0,c017,-0.013653755187988281
0,deploy,4.0,c039,-0.02266407012939453
0,deploy,4.0,c036,-0.016206741333007812
0,deploy,4.0,c009,-0.0013742446899414062
0,deploy,4.0,c000,-0.0028562545776367188
0,deploy,4.0,c013,-0.02492046356201172
0,deploy,4.0,c049,0.011759757995605469
0,deploy,4.0,c058,-0.02227306365966797
0,deploy,4.0,c024,-0.009751319885253906
0,deploy,4.0,c042,-0.036757469177246094
0,deploy,4.0,c047,-0.010603904724121094
0,deploy,4.0,c043,-0.012164115905761719
0,deploy,4.0,c003,0.004406929016113281
0,deploy,4.0,c041,-0.0029191970825195312
0,deploy,4.0,c008,-0.0015878677368164062
0,deploy,4.0,c045,-0.017650604248046875
0,deploy,4.0,c011,-0.0008745193481445312
0,deploy,4.0,c020,0.0037288665771484375
0,deploy,4.0,c044,-0.01032257080078125
0,deploy,4.0,c016,-0.01041412353515625
0,deploy,4.0,c056,-0.024732589721679688
0,deploy,4.0,c025,-0.013833045959472656
0,deploy,4.0,c029,-0.019948959350585938
0,deploy,4.0,c014,-0.03036975860595703
0,deploy,4.0,c002,-0.0045185089111328125
0,deploy,4.0,c023,-0.0134429931640625
0,deploy,4.0,c046,-0.010277748107910156
0,deploy,4.0,c022,-0.006504058837890625
0,deploy,4.0,c050,-0.016695022583007812
2,eval,-4.0,c006,0.02938365936279297
2,eval,-4.0,c017,0.0785665512084961
2,eval,-4.0,c039,0.09894084930419922
2,eval,-4.0,c036,0.16036701202392578
2,eval,-4.0,c009,0.07331371307373047
2,eval,-4.0,c000,0.022966384887695312
2,eval,-4.0,c013,0.2215566635131836
2,eval,-4.0,c049,0.21348190307617188
2,eval,-4.0,c058,0.13675689697265625
2,eval,-4.0,c024,0.0664968490600586
2,eval,-4.0,c042,0.11635589599609375
2,eval,-4.0,c047,0.1022634506225586
2,eval,-4.0,c043,0.16323566436767578
2,eval,-4.0,c003,0.0391082763671875
2,eval,-4.0,c041,-0.11019420623779297
2,eval,-4.0,c008,0.0822286605834961
2,eval,-4.0,c045,0.18996334075927734
2,eval,-4.0,c011,0.09092521667480469
2,eval,-4.0,c020,0.22309494018554688
2,eval,-4.0,c044,0.14437294006347656
2,eval,-4.0,c016,0.09418869018554688
2,eval,-4.0,c056,0.12811660766601562
2,eval,-4.0,c025,0.11265945434570312
2,eval,-4.0,c029,0.08630180358886719
2,eval,-4.0,c014,0.18366527557373047
2,eval,-4.0,c002,0.09628486633300781
2,eval,-4.0,c023,0.06742382049560547
2,eval,-4.0,c046,0.10346508026123047
2,eval,-4.0,c022,0.067047119140625
2,eval,-4.0,c050,0.15237903594970703
2,eval,-4.0,c006,0.030969619750976562
2,eval,-4.0,c017,0.07012176513671875
2,eval,-4.0,c039,0.14296722412109375
2,eval,-4.0,c036,0.14936256408691406
2,eval,-4.0,c009,0.1270608901977539
2,eval,-4.0,c000,0.07998275756835938
2,eval,-4.0,c013,0.06336116790771484
2,eval,-4.0,c049,0.015936851501464844
2,eval,-4.0,c058,0.0835723876953125
2,eval,-4.0,c024,0.002605438232421875
2,eval,-4.0,c042,0.047730445861816406
2,eval,-4.0,c047,0.1878528594970703
2,eval,-4.0,c043,0.047852516174316406
2,eval,-4.0,c003,0.0692434310913086
2,eval,-4.0,c041,-0.017879486083984375
2,eval,-4.0,c008,0.1232309341430664
2,eval,-4.0,c045,0.06240081787109375
2,eval,-4.0,c011,0.06155681610107422
2,eval,-4.0,c020,0.08687686920166016
2,eval,-4.0,c044,0.020263671875
2,eval,-4.0,c016,0.044960975646972656
2,eval,-4.0,c056,0.09899425506591797
2,eval,-4.0,c025,0.0954122543334961
2,eval,-4.0,c029,0.0988302230834961
2,eval,-4.0,c014,-0.0020809173583984375
2,eval,-4.0,c002,0.0695962905883789
2,eval,-4.0,c023,0.12765884399414062
2,eval,-4.0,c046,0.11884212493896484
2,eval,-4.0,c022,0.12166690826416016
2,eval,-4.0,c050,0.10297107696533203
2,deploy,4.0,c006,0.05214500427246094
2,deploy,4.0,c017,-0.05271434783935547
2,deploy,4.0,c039,-0.002685546875
2,deploy,4.0,c036,0.018632888793945312
2,deploy,4.0,c009,-0.04596519470214844
2,deploy,4.0,c000,0.051367759704589844
2,deploy,4.0,c013,0.05067157745361328
2,deploy,4.0,c049,-0.10371112823486328
2,deploy,4.0,c058,0.00012683868408203125
2,deploy,4.0,c024,0.010974884033203125
2,deploy,4.0,c042,0.014219284057617188
2,deploy,4.0,c047,0.028641700744628906
2,deploy,4.0,c043,0.011099815368652344
2,deploy,4.0,c003,0.05294513702392578
2,deploy,4.0,c041,0.13133716583251953
2,deploy,4.0,c008,-0.025157928466796875
2,deploy,4.0,c045,0.03143596649169922
2,deploy,4.0,c011,0.059531211853027344
2,deploy,4.0,c020,0.033370018005371094
2,deploy,4.0,c044,-0.0014801025390625
2,deploy,4.0,c016,0.02569580078125
2,deploy,4.0,c056,0.07782936096191406
2,deploy,4.0,c025,0.03284931182861328
2,deploy,4.0,c029,-0.06295967102050781
2,deploy,4.0,c014,0.07588005065917969
2,deploy,4.0,c002,0.08899497985839844
2,deploy,4.0,c023,0.062476158142089844
2,deploy,4.0,c046,-0.016124725341796875
2,deploy,4.0,c022,0.06192588806152344
2,deploy,4.0,c050,0.03734874725341797
2,deploy,4.0,c006,0.05194664001464844
2,deploy,4.0,c017,0.0012159347534179688
2,deploy,4.0,c039,-0.04445362091064453
2,deploy,4.0,c036,0.03394126892089844
2,deploy,4.0,c009,0.007067680358886719
2,deploy,4.0,c000,0.059757232666015625
2,deploy,4.0,c013,0.12178611755371094
2,deploy,4.0,c049,-0.08919525146484375
2,deploy,4.0,c058,0.03374671936035156
2,deploy,4.0,c024,0.03399467468261719
2,deploy,4.0,c042,-0.007755279541015625
2,deploy,4.0,c047,0.048447608947753906
2,deploy,4.0,c043,-0.0020503997802734375
2,deploy,4.0,c003,-0.0006389617919921875
2,deploy,4.0,c041,0.16734790802001953
2,deploy,4.0,c008,0.025714874267578125
2,deploy,4.0,c045,0.04342174530029297
2,deploy,4.0,c011,0.08473777770996094
2,deploy,4.0,c020,0.07125282287597656
2,deploy,4.0,c044,0.10388565063476562
2,deploy,4.0,c016,0.0635366439819336
2,deploy,4.0,c056,0.052494049072265625
2,deploy,4.0,c025,0.016160964965820312
2,deploy,4.0,c029,-0.05450916290283203
2,deploy,4.0,c014,-0.052863121032714844
2,deploy,4.0,c002,0.05304145812988281
2,deploy,4.0,c023,0.04150104522705078
2,deploy,4.0,c046,0.02209758758544922
2,deploy,4.0,c022,-0.0858926773071289
2,deploy,4.0,c050,0.02598094940185547
4,eval,-4.0,c006,0.15236186981201172
4,eval,-4.0,c017,0.31123924255371094
4,eval,-4.0,c039,0.08189868927001953
4,eval,-4.0,c036,-0.0976877212524414
4,eval,-4.0,c009,0.06566810607910156
4,eval,-4.0,c000,0.2301950454711914
4,eval,-4.0,c013,0.30892467498779297
4,eval,-4.0,c049,-0.001529693603515625
4,eval,-4.0,c058,-0.01757335662841797
4,eval,-4.0,c024,0.19855976104736328
4,eval,-4.0,c042,0.0773773193359375
4,eval,-4.0,c047,0.1815967559814453
4,eval,-4.0,c043,-0.022955894470214844
4,eval,-4.0,c003,0.26067638397216797
4,eval,-4.0,c041,0.019806861877441406
4,eval,-4.0,c008,0.12420272827148438
4,eval,-4.0,c045,0.0996999740600586
4,eval,-4.0,c011,0.24619770050048828
4,eval,-4.0,c020,0.3588104248046875
4,eval,-4.0,c044,0.17570877075195312
4,eval,-4.0,c016,0.2914867401123047
4,eval,-4.0,c056,0.30182647705078125
4,eval,-4.0,c025,0.2519998550415039
4,eval,-4.0,c029,-0.1087799072265625
4,eval,-4.0,c014,-0.02987194061279297
4,eval,-4.0,c002,0.42501258850097656
4,eval,-4.0,c023,0.08002376556396484
4,eval,-4.0,c046,0.22925758361816406
4,eval,-4.0,c022,0.2063589096069336
4,eval,-4.0,c050,0.5117893218994141
4,eval,-4.0,c006,0.3214435577392578
4,eval,-4.0,c017,0.27137088775634766
4,eval,-4.0,c039,-0.2878551483154297
4,eval,-4.0,c036,0.08862781524658203
4,eval,-4.0,c009,0.17277050018310547
4,eval,-4.0,c000,0.2554636001586914
4,eval,-4.0,c013,0.17713069915771484
4,eval,-4.0,c049,-0.19974327087402344
4,eval,-4.0,c058,0.1660928726196289
4,eval,-4.0,c024,0.24294376373291016
4,eval,-4.0,c042,0.1885519027709961
4,eval,-4.0,c047,0.2281208038330078
4,eval,-4.0,c043,0.01692962646484375
4,eval,-4.0,c003,0.2776603698730469
4,eval,-4.0,c041,0.13706588745117188
4,eval,-4.0,c008,-0.042194366455078125
4,eval,-4.0,c045,0.13716411590576172
4,eval,-4.0,c011,0.22569942474365234
4,eval,-4.0,c020,0.4578208923339844
4,eval,-4.0,c044,0.10572338104248047
4,eval,-4.0,c016,0.3990602493286133
4,eval,-4.0,c056,0.0639638900756836
4,eval,-4.0,c025,0.1975994110107422
4,eval,-4.0,c029,-0.047211647033691406
4,eval,-4.0,c014,0.16144847869873047
4,eval,-4.0,c002,0.2389965057373047
4,eval,-4.0,c023,0.0765218734741211
4,eval,-4.0,c046,0.2521829605102539
4,eval,-4.0,c022,0.25789833068847656
4,eval,-4.0,c050,0.4413585662841797
4,deploy,4.0,c006,0.012361526489257812
4,deploy,4.0,c017,0.02389812469482422
4,deploy,4.0,c039,-0.005488395690917969
4,deploy,4.0,c036,0.07024097442626953
4,deploy,4.0,c009,0.05775260925292969
4,deploy,4.0,c000,-0.0056629180908203125
4,deploy,4.0,c013,0.02157306671142578
4,deploy,4.0,c049,0.2131977081298828
4,deploy,4.0,c058,0.10593128204345703
4,deploy,4.0,c024,-0.03196525573730469
4,deploy,4.0,c042,0.026042938232421875
4,deploy,4.0,c047,-0.136688232421875
4,deploy,4.0,c043,0.05652618408203125
4,deploy,4.0,c003,0.01348876953125
4,deploy,4.0,c041,0.18520259857177734
4,deploy,4.0,c008,-0.0011463165283203125
4,deploy,4.0,c045,0.10329914093017578
4,deploy,4.0,c011,-0.06096076965332031
4,deploy,4.0,c020,-0.04416847229003906
4,deploy,4.0,c044,0.09007930755615234
4,deploy,4.0,c016,-0.045113563537597656
4,deploy,4.0,c056,-0.060080528259277344
4,deploy,4.0,c025,-0.06046104431152344
4,deploy,4.0,c029,0.07771778106689453
4,deploy,4.0,c014,-0.04648590087890625
4,deploy,4.0,c002,-0.06145668029785156
4,deploy,4.0,c023,-0.005558967590332031
4,deploy,4.0,c046,-0.035355567932128906
4,deploy,4.0,c022,0.0011692047119140625
4,deploy,4.0,c050,-0.021593093872070312
4,deploy,4.0,c006,0.09336185455322266
4,deploy,4.0,c017,0.009265899658203125
4,deploy,4.0,c039,-0.09875869750976562
4,deploy,4.0,c036,-0.0191192626953125
4,deploy,4.0,c009,-0.23528289794921875
4,deploy,4.0,c000,0.07401561737060547
4,deploy,4.0,c013,0.05151844024658203
4,deploy,4.0,c049,0.11447429656982422
4,deploy,4.0,c058,0.12311363220214844
4,deploy,4.0,c024,0.07316398620605469
4,deploy,4.0,c042,0.012446403503417969
4,deploy,4.0,c047,-0.06223869323730469
4,deploy,4.0,c043,0.12058734893798828
4,deploy,4.0,c003,0.044769287109375
4,deploy,4.0,c041,0.10910892486572266
4,deploy,4.0,c008,0.045731544494628906
4,deploy,4.0,c045,0.04447460174560547
4,deploy,4.0,c011,-0.07965564727783203
4,deploy,4.0,c020,-0.005877494812011719
4,deploy,4.0,c044,0.06177520751953125
4,deploy,4.0,c016,0.03556537628173828
4,deploy,4.0,c056,-0.009531974792480469
4,deploy,4.0,c025,-0.03966236114501953
4,deploy,4.0,c029,0.032721519470214844
4,deploy,4.0,c014,-0.03126049041748047
4,deploy,4.0,c002,0.09356498718261719
4,deploy,4.0,c023,0.03340625762939453
4,deploy,4.0,c046,-0.0924224853515625
4,deploy,4.0,c022,-0.02674388885498047
4,deploy,4.0,c050,-0.002361297607421875
6,eval,-4.0,c006,0.11409759521484375
6,eval,-4.0,c017,0.23331546783447266
6,eval,-4.0,c039,0.03365516662597656
6,eval,-4.0,c036,0.08683395385742188
6,eval,-4.0,c009,0.0823984146118164
6,eval,-4.0,c000,0.07230949401855469
6,eval,-4.0,c013,0.09659004211425781
6,eval,-4.0,c049,0.09755229949951172
6,eval,-4.0,c058,-0.0690774917602539
6,eval,-4.0,c024,-0.04378318786621094
6,eval,-4.0,c042,0.1463613510131836
6,eval,-4.0,c047,0.12913894653320312
6,eval,-4.0,c043,-0.0957794189453125
6,eval,-4.0,c003,0.2332935333251953
6,eval,-4.0,c041,0.004414558410644531
6,eval,-4.0,c008,0.29078102111816406
6,eval,-4.0,c045,0.11943435668945312
6,eval,-4.0,c011,0.2828950881958008
6,eval,-4.0,c020,0.16739654541015625
6,eval,-4.0,c044,-0.060863494873046875
6,eval,-4.0,c016,0.34935760498046875
6,eval,-4.0,c056,0.1616840362548828
6,eval,-4.0,c025,0.049469947814941406
6,eval,-4.0,c029,0.15215492248535156
6,eval,-4.0,c014,-0.12508106231689453
6,eval,-4.0,c002,0.3330354690551758
6,eval,-4.0,c023,0.26041698455810547
6,eval,-4.0,c046,0.1276865005493164
6,eval,-4.0,c022,0.1091451644897461
6,eval,-4.0,c050,0.12207603454589844
6,eval,-4.0,c006,0.20599651336669922
6,eval,-4.0,c017,0.18517494201660156
6,eval,-4.0,c039,-0.12845611572265625
6,eval,-4.0,c036,0.025899887084960938
6,eval,-4.0,c009,0.04972553253173828
6,eval,-4.0,c000,0.3309164047241211
6,eval,-4.0,c013,0.2333202362060547
6,eval,-4.0,c049,0.20632648468017578
6,eval,-4.0,c058,0.18939685821533203
6,eval,-4.0,c024,0.35466861724853516
6,eval,-4.0,c042,0.1997661590576172
6,eval,-4.0,c047,0.1502542495727539
6,eval,-4.0,c043,0.2625303268432617
6,eval,-4.0,c003,0.4333000183105469
6,eval,-4.0,c041,0.0045413970947265625
6,eval,-4.0,c008,0.08348846435546875
6,eval,-4.0,c045,0.2906322479248047
6,eval,-4.0,c011,0.30600738525390625
6,eval,-4.0,c020,0.4604911804199219
6,eval,-4.0,c044,0.13568878173828125
6,eval,-4.0,c016,0.44437122344970703
6,eval,-4.0,c056,0.16162490844726562
