direction,layer,alpha,acc,p_correct,belief
d,16,-4.0,0.7916666865348816,0.750150740146637,0.42798304557800293
d,16,4.0,0.75,0.7164052128791809,-0.29162076115608215
style,16,-4.0,0.75,0.7515015602111816,0.6703522801399231
style,16,4.0,0.75,0.7407882213592529,-0.2962164580821991
random_0,16,-4.0,0.875,0.75733882188797,0.4558776319026947
random_0,16,4.0,0.7916666865348816,0.7244089245796204,0.08981958776712418
random_1,16,-4.0,0.7916666865348816,0.7460298538208008,-0.2502603530883789
random_1,16,4.0,0.7916666865348816,0.7364833354949951,0.3052721321582794
random_2,16,-4.0,0.7916666865348816,0.763597309589386,0.3545289933681488
random_2,16,4.0,0.7083333134651184,0.7129587531089783,-0.20127947628498077
