layer,region,source,content_id,pair,delta,a,b
10,full,paired,c000,0,-0.24734878540039062,111,0
10,readout,paired,c000,0,-0.04143524169921875,44,0
10,task,paired,c000,0,-0.3160381317138672,111,44
10,full,sameclass,c000,0,-0.17270660400390625,115,0
10,readout,sameclass,c000,0,0.0060291290283203125,44,0
10,task,sameclass,c000,0,-0.155609130859375,115,44
10,full,unpaired,c000,0,0.1399097442626953,74,0
10,readout,unpaired,c000,0,0.2706794738769531,44,0
10,task,unpaired,c000,0,-0.14528846740722656,74,44
10,full,unpaired_eval,c000,0,-0.2380542755126953,74,0
10,readout,unpaired_eval,c000,0,-0.04673004150390625,44,0
10,task,unpaired_eval,c000,0,-0.1529674530029297,74,44
16,full,paired,c000,0,-0.06259346008300781,111,0
16,readout,paired,c000,0,-0.02410125732421875,44,0
16,task,paired,c000,0,-0.03770256042480469,111,44
16,full,sameclass,c000,0,0.003849029541015625,115,0
16,readout,sameclass,c000,0,0.0072498321533203125,44,0
16,task,sameclass,c000,0,0.007080078125,115,44
16,full,unpaired,c000,0,0.016572952270507812,74,0
16,readout,unpaired,c000,0,0.07062911987304688,44,0
16,task,unpaired,c000,0,-0.04731559753417969,74,44
16,full,unpaired_eval,c000,0,-0.35878944396972656,74,0
16,readout,unpaired_eval,c000,0,-0.2813587188720703,44,0
16,task,unpaired_eval,c000,0,-0.062000274658203125,74,44
28,full,paired,c000,0,-0.043102264404296875,111,0
28,readout,paired,c000,0,-0.008806228637695312,44,0
28,task,paired,c000,0,-0.03397369384765625,111,44
28,full,sameclass,c000,0,0.08659553527832031,115,0
28,readout,sameclass,c000,0,0.07360076904296875,44,0
28,task,sameclass,c000,0,0.008853912353515625,115,44
28,full,unpaired,c000,0,0.15012359619140625,74,0
28,readout,unpaired,c000,0,0.14430809020996094,44,0
28,task,unpaired,c000,0,0.0047931671142578125,74,44
28,full,unpaired_eval,c000,0,-0.297760009765625,74,0
28,readout,unpaired_eval,c000,0,-0.3023567199707031,44,0
28,task,unpaired_eval,c000,0,0.0027103424072265625,74,44
10,full,paired,c002,1,0.5585117340087891,104,0
10,readout,paired,c002,1,0.39858436584472656,44,0
10,task,paired,c002,1,0.1474151611328125,104,44
10,full,sameclass,c002,1,0.2959117889404297,104,0
10,readout,sameclass,c002,1,0.22988319396972656,44,0
10,task,sameclass,c002,1,0.10216522216796875,104,44
10,full,unpaired,c002,1,-0.05389595031738281,74,0
10,readout,unpaired,c002,1,-0.207275390625,44,0
10,task,unpaired,c002,1,0.10701179504394531,74,44
10,full,unpaired_eval,c002,1,0.08965873718261719,74,0
10,readout,unpaired_eval,c002,1,0.06692886352539062,44,0
