layer,region,source,mean,lo,hi
10,full,paired,-0.04773642222086589,-0.1712918949127197,0.08142863432566314
10,full,sameclass,0.0534430185953776,-0.04998366355895996,0.18239278634389242
10,full,unpaired,-0.02720947265625,-0.1646930774052938,0.11782178560892739
10,full,unpaired_eval,0.06405175526936849,-0.07555426915486653,0.21028493404388415
10,readout,paired,-0.05330861409505208,-0.16097885290781655,0.047892770767211906
10,readout,sameclass,0.06739737192789713,-0.02647200584411621,0.18308432102203367
10,readout,unpaired,-0.040547943115234374,-0.15858075777689618,0.07893698692321774
10,readout,unpaired_eval,0.07385056813557943,-0.03838201840718587,0.18543951988220211
10,task,paired,0.00041675567626953125,-0.056399718920389814,0.05679568449656155
10,task,sameclass,0.019332249959309895,-0.033129005432128905,0.06805193424224854
10,task,unpaired,0.012808736165364583,-0.03431725660959879,0.0625328238805135
10,task,unpaired_eval,0.012104352315266928,-0.04106274445851644,0.06636761983235669
16,full,paired,-0.2789546330769857,-0.45980312665303547,-0.09076445102691652
16,full,sameclass,-0.049247423807779946,-0.2513336928685506,0.169982107480367
16,full,unpaired,-0.260401980082194,-0.45534199714660645,-0.06927735328674324
16,full,unpaired_eval,-0.0031813939412434896,-0.21184066931406656,0.19760965347290035
16,readout,paired,-0.26847852071126305,-0.4526014773050944,-0.08033457120259617
16,readout,sameclass,-0.026372845967610678,-0.2366126521428426,0.20260467052459707
16,readout,unpaired,-0.28002389272054035,-0.4784333769480387,-0.08489296436309816
16,readout,unpaired_eval,-0.013719622294108074,-0.22968928337097166,0.19354549090067535
16,task,paired,-0.016397857666015626,-0.041222821871439615,0.008995288213094074
16,task,sameclass,-0.019586563110351562,-0.045467527707417806,0.007194716135660784
16,task,unpaired,-0.006900469462076823,-0.03874297459920247,0.02496841907501218
16,task,unpaired_eval,0.0014005661010742187,-0.025250086784362795,0.027655871709187825
28,full,paired,-0.29770151774088544,-0.48264100392659504,-0.10975425402323405
28,full,sameclass,-0.0247195561726888,-0.22196610450744628,0.1856737120946242
28,full,unpaired,-0.29422009785970055,-0.4846641238530477,-0.10768520514170335
28,full,unpaired_eval,9.657541910807292e-05,-0.20320587158203127,0.204207436243693
28,readout,paired,-0.2992404937744141,-0.481709353129069,-0.11100018819173185
28,readout,sameclass,-0.024388249715169272,-0.22092522462209066,0.18824432055155424
28,readout,unpaired,-0.299920908610026,-0.4908682378133138,-0.11422473112742128
28,readout,unpaired_eval,-6.930033365885417e-06,-0.20271416187286379,0.20356060504913323
28,task,paired,0.003376197814941406,-0.0020198297500610353,0.008139355977376299
28,task,sameclass,0.0020932515462239584,-0.004182391166687011,0.008287150065104165
28,task,unpaired,0.003868548075358073,-0.0039009634653727216,0.01084240754445393
28,task,unpaired_eval,-0.002079455057779948,-0.009918715159098307,0.0049931573867797825
