layer,region,effect,mean,lo,hi
10,full,class,-0.09622033437093098,-0.1796574592590332,-0.011015806198120174
10,full,content,0.015567843119303386,-0.08801673412322998,0.11949317057927439
10,readout,class,-0.1175522486368815,-0.195615021387736,-0.0431907113393148
10,readout,content,0.00960693359375,-0.06924248933792114,0.09312749703725173
10,task,class,-0.009105555216471354,-0.039293539524078366,0.02097896099090576
10,task,content,0.0025820414225260417,-0.04993513663609822,0.051936453183492014
16,full,class,-0.24346389770507812,-0.3454499991734823,-0.13922504901885988
16,full,content,0.032309341430664065,-0.09391140858332317,0.16339132944742815
16,readout,class,-0.2542049725850423,-0.3601349115371704,-0.14595371087392175
16,readout,content,0.0005539258321126302,-0.12122568051020303,0.1302955214182536
16,task,class,-0.0025561650594075522,-0.016174484093983966,0.011504264672597244
16,task,content,0.015242258707682291,-0.016452070077260336,0.04474608977635694
28,full,class,-0.2836493174235026,-0.3898441449801127,-0.17828516006469725
28,full,content,0.014148775736490886,-0.12251688480377197,0.15766852299372333
28,readout,class,-0.28738311131795247,-0.39387539863586424,-0.18077140569686895
28,readout,content,0.011850452423095703,-0.12152522166570028,0.15478399594624834
28,task,class,0.0036154747009277343,-0.000364236036936442,0.007849525610605874
28,task,content,-0.0018401781717936197,-0.009746402899424234,0.0056780020395914635
