layer,cos,cos_neutral,cos_style_neutral
0,0.6487100124359131,0.4445912837982178,0.11179760843515396
1,0.6921776533126831,0.648391842842102,0.5007938742637634
2,0.7099572420120239,0.5899564027786255,0.5359280109405518
3,0.6370359063148499,0.5587364435195923,0.4934043288230896
4,0.6197881698608398,0.6041437387466431,0.48326441645622253
5,0.6147481203079224,0.6229989528656006,0.5027698874473572
6,0.6583266258239746,0.6743056178092957,0.5552639961242676
7,0.6834497451782227,0.6954182386398315,0.6083036065101624
8,0.6549712419509888,0.7056434154510498,0.5977179408073425
9,0.6836148500442505,0.6618446111679077,0.5524934530258179
10,0.6866313815116882,0.6640230417251587,0.5529446601867676
11,0.627585768699646,0.5921956300735474,0.4418404698371887
12,0.4729953706264496,0.5982900857925415,0.28092923760414124
13,0.34059423208236694,0.5960035920143127,0.17559462785720825
14,0.29315441846847534,0.5962063074111938,0.062117211520671844
15,0.2899564504623413,0.567379891872406,0.03230457752943039
16,0.2763078212738037,0.5738072991371155,-0.003428402356803417
17,0.2290429174900055,0.5656431913375854,-0.044884368777275085
18,0.2387908697128296,0.5619122982025146,-0.03458066284656525
19,0.2761615812778473,0.5550283193588257,-0.02282339334487915
20,0.30506405234336853,0.5473062992095947,-0.03368926793336868
21,0.31577736139297485,0.5261191129684448,-0.06565578281879425
22,0.30652016401290894,0.519956111907959,-0.07673051953315735
23,0.30618056654930115,0.5163025259971619,-0.07970830798149109
24,0.3248765468597412,0.5013859272003174,-0.07660332322120667
25,0.35785382986068726,0.4877796769142151,-0.042129166424274445
26,0.34391435980796814,0.4925432801246643,-0.045980699360370636
27,0.3505462408065796,0.487567663192749,0.004894939251244068
28,0.3512663245201111,0.5211174488067627,0.026815691962838173
29,0.33030134439468384,0.5274496674537659,0.058909378945827484
30,0.3681228756904602,0.5275796055793762,0.07452675700187683
31,0.49195945262908936,0.506770133972168,0.1554085612297058
