layer,framing,mean,lo,hi,n
0,eval,-0.026069275538126626,-0.034395761489868164,-0.01773392160733542,60
0,deploy,0.04004961649576823,0.032815640370051066,0.04716628352801004,60
1,eval,-0.036478344599405924,-0.047428483168284095,-0.025774373610814423,60
1,deploy,0.05952450434366862,0.051701470613479614,0.06730589548746743,60
2,eval,-0.02858724594116211,-0.04301263769467672,-0.013324653307596874,60
2,deploy,0.003815905253092448,-0.013369799455006917,0.020887378851572658,60
3,eval,0.06854047775268554,0.036727153460184736,0.10130563457806904,60
3,deploy,-0.01700874964396159,-0.042362618446350093,0.010106927156448313,60
4,eval,-0.05081653594970703,-0.07020362655321757,-0.03094991207122803,60
4,deploy,-0.09706009229024251,-0.11816516240437826,-0.07673561016718548,60
5,eval,-0.07934714953104655,-0.09177707433700562,-0.06622332930564881,60
5,deploy,0.1239907423655192,0.10839763681093852,0.13949895262718198,60
6,eval,0.07185869216918946,0.05383765419324239,0.08886306842168172,60
6,deploy,-0.17053295771280924,-0.19289049863815305,-0.14746888597806296,60
7,eval,0.20775203704833983,0.19597159306208292,0.21844144701957702,60
7,deploy,-0.24094691276550292,-0.2618471312522888,-0.22097395658493046,60
8,eval,0.2040065129597982,0.18378599405288698,0.2233561933040619,60
8,deploy,-0.08766787846883138,-0.09889797886212667,-0.07486441453297933,60
9,eval,-0.606664260228475,-0.6527995097637177,-0.5623974299430847,60
9,deploy,0.06906878153483073,0.039378150701522834,0.10171708742777505,60
10,eval,-0.1950348695119222,-0.23765898386637369,-0.15181151032447818,60
10,deploy,0.14680856068929035,0.0965016516049703,0.20163103739420574,60
11,eval,-0.03775664965311686,-0.06257578055063884,-0.01623846014340719,60
11,deploy,-0.20193492571512858,-0.22192788163820903,-0.17936509569485984,60
12,eval,-0.36063939730326333,-0.41162809610366824,-0.3115433033307394,60
12,deploy,0.01680448849995931,-0.017235041856765748,0.051978484392166104,60
13,eval,0.09512139956156412,0.07432299892107647,0.11661775946617126,60
13,deploy,-0.1855278174082438,-0.21466249028841655,-0.15396994868914288,60
14,eval,-0.3069256623586019,-0.32739492376645407,-0.28572043061256414,60
14,deploy,0.11653545697530111,0.08424262642860413,0.15062903523445126,60
15,eval,-0.23178839683532715,-0.25257566849390667,-0.21094298442204795,60
15,deploy,0.09162551561991374,0.06872640331586202,0.11655206163724263,60
16,eval,-0.3158991018931071,-0.3368858639399211,-0.29519345959027604,60
16,deploy,0.22747583389282228,0.20249106804529826,0.2539251108964284,60
17,eval,-0.27639795939127604,-0.29121543804804484,-0.260924061536789,60
17,deploy,0.11356658935546875,0.09787534395853678,0.12989941636721292,60
18,eval,-0.19902362823486328,-0.21046622196833295,-0.1877386665344238,60
18,deploy,0.1540333112080892,0.1438812029361725,0.16489636103312175,60
19,eval,-0.1414758841196696,-0.1555554982026418,-0.12763628045717876,60
19,deploy,0.10737967491149902,0.09759230494499208,0.11782034794489542,60
20,eval,-0.03569502830505371,-0.0507414174079895,-0.021716013352076218,60
20,deploy,0.07492108345031738,0.06903509736061096,0.08102931221326191,60
21,eval,-0.039190085728963216,-0.047139981587727864,-0.03163796663284304,60
21,deploy,0.04545408884684245,0.04171182592709859,0.0493562897046407,60
22,eval,-0.06336046854654948,-0.06766552448272706,-0.059026664495468145,60
22,deploy,0.04047664006551107,0.03763360341389974,0.04343549092610677,60
23,eval,-0.005394140879313151,-0.0075007987022399905,-0.003313275973002116,60
23,deploy,0.0010254383087158203,-0.0016423730055491127,0.003856030305226639,60
