layer,region,source,content_id,pair,delta,a,b
9,full,paired,c000,0,-0.06532669067382812,108,0
9,readout,paired,c000,0,-0.33898162841796875,46,0
9,task,paired,c000,0,0.24863052368164062,108,46
9,full,sameclass,c000,0,-0.03454017639160156,109,0
9,readout,sameclass,c000,0,-0.3709754943847656,46,0
9,task,sameclass,c000,0,0.33687782287597656,109,46
9,full,unpaired,c000,0,-0.25054931640625,79,0
9,readout,unpaired,c000,0,-0.3367290496826172,46,0
9,task,unpaired,c000,0,0.10668563842773438,79,46
9,full,unpaired_eval,c000,0,-0.2645263671875,79,0
9,readout,unpaired_eval,c000,0,-0.27582359313964844,46,0
9,task,unpaired_eval,c000,0,-0.01453399658203125,79,46
22,full,paired,c000,0,-0.008096694946289062,108,0
22,readout,paired,c000,0,-0.003406524658203125,46,0
22,task,paired,c000,0,-0.005161285400390625,108,46
22,full,sameclass,c000,0,0.1603984832763672,109,0
22,readout,sameclass,c000,0,0.1497173309326172,46,0
22,task,sameclass,c000,0,0.009790420532226562,109,46
22,full,unpaired,c000,0,-0.031536102294921875,79,0
22,readout,unpaired,c000,0,-0.02740478515625,46,0
22,task,unpaired,c000,0,-0.005451202392578125,79,46
22,full,unpaired_eval,c000,0,0.01214599609375,79,0
22,readout,unpaired_eval,c000,0,0.019788742065429688,46,0
22,task,unpaired_eval,c000,0,-0.008710861206054688,79,46
9,full,paired,c002,1,0.08333015441894531,102,0
9,readout,paired,c002,1,0.0063686370849609375,46,0
9,task,paired,c002,1,0.0794830322265625,102,46
9,full,sameclass,c002,1,-0.14159393310546875,102,0
9,readout,sameclass,c002,1,-0.12351608276367188,46,0
9,task,sameclass,c002,1,-0.021270751953125,102,46
9,full,unpaired,c002,1,0.24393463134765625,79,0
9,readout,unpaired,c002,1,0.06953620910644531,46,0
9,task,unpaired,c002,1,0.19552040100097656,79,46
9,full,unpaired_eval,c002,1,0.11794090270996094,79,0
9,readout,unpaired_eval,c002,1,0.2337779998779297,46,0
9,task,unpaired_eval,c002,1,-0.09823417663574219,79,46
22,full,paired,c002,1,-0.03824424743652344,102,0
22,readout,paired,c002,1,-0.04061698913574219,46,0
22,task,paired,c002,1,0.001495361328125,102,46
22,full,sameclass,c002,1,0.03685951232910156,102,0
22,readout,sameclass,c002,1,0.025310516357421875,46,0
22,task,sameclass,c002,1,0.0086212158203125,102,46
22,full,unpaired,c002,1,-0.17406272888183594,79,0
22,readout,unpaired,c002,1,-0.1820697784423828,46,0
22,task,unpaired,c002,1,0.0070953369140625,79,46
22,full,unpaired_eval,c002,1,-0.2985420227050781,79,0
22,readout,unpaired_eval,c002,1,-0.3196582794189453,46,0
22,task,unpaired_eval,c002,1,0.022785186767578125,79,46
9,full,paired,c003,2,0.1363811492919922,105,0
9,readout,paired,c003,2,-0.17479515075683594,46,0
9,task,paired,c003,2,0.3214225769042969,105,46
9,full,sameclass,c003,2,-0.008466720581054688,107,0
9,readout,sameclass,c003,2,-0.2807273864746094,46,0
9,task,sameclass,c003,2,0.2659473419189453,107,46
9,full,unpaired,c003,2,-0.4114723205566406,79,0
9,readout,unpaired,c003,2,-0.5528144836425781,46,0
9,task,unpaired,c003,2,0.1856517791748047,79,46
9,full,unpaired_eval,c003,2,-0.35996055603027344,79,0
9,readout,unpaired_eval,c003,2,-0.4530048370361328,46,0
9,task,unpaired_eval,c003,2,0.05713844299316406,79,46
22,full,paired,c003,2,0.13045883178710938,105,0
22,readout,paired,c003,2,0.14234352111816406,46,0
22,task,paired,c003,2,-0.00997161865234375,105,46
22,full,sameclass,c003,2,0.10593032836914062,107,0
22,readout,sameclass,c003,2,0.10919761657714844,46,0
22,task,sameclass,c003,2,-0.0025463104248046875,107,46
22,full,unpaired,c003,2,-0.19084548950195312,79,0
22,readout,unpaired,c003,2,-0.17730140686035156,46,0
22,task,unpaired,c003,2,-0.011165618896484375,79,46
22,full,unpaired_eval,c003,2,0.12843894958496094,79,0
22,readout,unpaired_eval,c003,2,0.1446208953857422,46,0
22,task,unpaired_eval,c003,2,-0.015361785888671875,79,46
9,full,paired,c006,3,-0.3399219512939453,123,0
9,readout,paired,c006,3,-0.2993144989013672,46,0
9,task,paired,c006,3,0.002307891845703125,123,46
9,full,sameclass,c006,3,-0.3304767608642578,125,0
9,readout,sameclass,c006,3,-0.11103248596191406,46,0
9,task,sameclass,c006,3,-0.24338531494140625,125,46
9,full,unpaired,c006,3,-0.6558990478515625,59,0
9,readout,unpaired,c006,3,-0.4430999755859375,46,0
9,task,unpaired,c006,3,-0.2510089874267578,59,46
9,full,unpaired_eval,c006,3,-0.1958599090576172,59,0
9,readout,unpaired_eval,c006,3,-0.2064037322998047,46,0
9,task,unpaired_eval,c006,3,-0.03650665283203125,59,46
22,full,paired,c006,3,-0.32328224182128906,123,0
