train_family,test_family,auc
explicit_direct,explicit_direct,1.0
explicit_direct,benchmark_format,0.8630864197530864
explicit_direct,system_metadata,0.5879320987654322
explicit_direct,third_party_researcher,1.0
explicit_direct,subtle_exam_format,0.9759567901234568
benchmark_format,explicit_direct,1.0
benchmark_format,benchmark_format,1.0
benchmark_format,system_metadata,0.9844135802469136
benchmark_format,third_party_researcher,1.0
benchmark_format,subtle_exam_format,0.9976851851851852
system_metadata,explicit_direct,0.6270987654320987
system_metadata,benchmark_format,0.9277777777777778
system_metadata,system_metadata,0.9995370370370371
system_metadata,third_party_researcher,0.7500771604938272
system_metadata,subtle_exam_format,0.7941975308641975
third_party_researcher,explicit_direct,1.0
third_party_researcher,benchmark_format,0.8644753086419753
third_party_researcher,system_metadata,0.6569135802469135
third_party_researcher,third_party_researcher,1.0
third_party_researcher,subtle_exam_format,0.9731172839506174
subtle_exam_format,explicit_direct,0.9799382716049383
subtle_exam_format,benchmark_format,0.9586728395061728
subtle_exam_format,system_metadata,0.7541358024691358
subtle_exam_format,third_party_researcher,0.9973148148148148
subtle_exam_format,subtle_exam_format,1.0
