arm,dst_cls,layer,region,source,content_id,delta,dist,dist_unit,scale,scale_min,scale_max,n_clamped,pid,kk,a,b,cand
unmatched,eval,10,final,samecls_samecont,c000,0.06484222412109375,2.1079790592193604,0.052669260650873184,1.0,1.0,1.0,0,p00188,109,1,0,0
unmatched,eval,10,final,othercls_samecont,c000,0.11659622192382812,2.2629306316375732,0.056620918214321136,1.0,1.0,1.0,0,p00117,108,1,0,0
unmatched,eval,10,final,samecls_diffcont,c000,0.22024154663085938,4.009592056274414,0.09945935010910034,1.0,1.0,1.0,0,p00189,79,1,0,0
unmatched,eval,10,final,othercls_diffcont,c000,0.17428016662597656,2.377087354660034,0.05939715355634689,1.0,1.0,1.0,0,p00289,79,1,0,0
selected,eval,10,final,samecls_samecont,c000,0.05594062805175781,2.775674343109131,0.0694342851638794,1.0,1.0,1.0,0,p00755,109,1,0,3
selected,eval,10,final,othercls_samecont,c000,0.12853622436523438,2.480531692504883,0.06190609559416771,1.0,1.0,1.0,0,p00468,109,1,0,4
selected,eval,10,final,samecls_diffcont,c000,0.08194351196289062,3.5447850227355957,0.08791916817426682,1.0,1.0,1.0,0,p00909,79,1,0,4
selected,eval,10,final,othercls_diffcont,c000,0.3042716979980469,3.8413562774658203,0.09575236588716507,1.0,1.0,1.0,0,p00724,79,1,0,5
constructed,eval,10,final,samecls_samecont,c000,0.08405113220214844,2.6893978118896484,0.06715031713247299,1.27581787109375,1.27581787109375,1.27581787109375,0,p00188,109,1,0,0
constructed_min,eval,10,final,samecls_samecont,c000,0.06482124328613281,2.1079790592193604,0.052669260650873184,1.0,1.0,1.0,0,p00188,109,1,0,0
constructed,eval,10,final,othercls_samecont,c000,0.14069366455078125,2.6893978118896484,0.06728639453649521,1.188457727432251,1.188457727432251,1.188457727432251,0,p00117,108,1,0,0
constructed_min,eval,10,final,othercls_samecont,c000,0.108001708984375,2.1079790592193604,0.05274420976638794,0.9315261244773865,0.9315261244773865,0.9315261244773865,0,p00117,108,1,0,0
constructed,eval,10,final,samecls_diffcont,c000,0.1466197967529297,2.6893975734710693,0.06632036715745926,0.6707409024238586,0.6707409024238586,0.6707409024238586,0,p00189,79,1,0,0
constructed_min,eval,10,final,samecls_diffcont,c000,0.11442375183105469,2.1079795360565186,0.05183534324169159,0.5257340669631958,0.5257340669631958,0.5257340669631958,0,p00189,79,1,0,0
constructed,eval,10,final,othercls_diffcont,c000,0.1994915008544922,2.689396858215332,0.0672365054488182,1.1313834190368652,1.1313834190368652,1.1313834190368652,0,p00289,79,1,0,0
constructed_min,eval,10,final,othercls_diffcont,c000,0.1529560089111328,2.1079788208007812,0.052646927535533905,0.8867907524108887,0.8867907524108887,0.8867907524108887,0,p00289,79,1,0,0
unmatched,eval,10,readout,samecls_samecont,c000,0.1106719970703125,3.020324945449829,0.06593482196331024,1.0,1.0,1.0,0,p00188,109,46,0,0
unmatched,eval,10,readout,othercls_samecont,c000,-0.32408714294433594,3.6218340396881104,0.07928036153316498,1.0,1.0,1.0,0,p00117,108,46,0,0
unmatched,eval,10,readout,samecls_diffcont,c000,-0.5340538024902344,4.791119575500488,0.10397813469171524,1.0,1.0,1.0,0,p00189,79,46,0,0
unmatched,eval,10,readout,othercls_diffcont,c000,-0.49065208435058594,3.9098925590515137,0.08471686393022537,1.0,1.0,1.0,0,p00289,79,46,0,0
selected,eval,10,readout,samecls_samecont,c000,0.1106719970703125,3.020324945449829,0.06593482196331024,1.0,1.0,1.0,0,p00188,109,46,0,0
selected,eval,10,readout,othercls_samecont,c000,-0.16280746459960938,3.210047960281372,0.0699072778224945,1.0,1.0,1.0,0,p00468,109,46,0,4
selected,eval,10,readout,samecls_diffcont,c000,-0.48475074768066406,4.099288463592529,0.08894655108451843,1.0,1.0,1.0,0,p00217,79,46,0,1
selected,eval,10,readout,othercls_diffcont,c000,-0.49065208435058594,3.9098925590515137,0.08471686393022537,1.0,1.0,1.0,0,p00289,79,46,0,0
constructed,eval,10,readout,samecls_samecont,c000,0.29184722900390625,3.8357927799224854,0.08374641090631485,1.3269306421279907,0.9635156393051147,1.8739105463027954,0,p00188,109,46,0,0
constructed_min,eval,10,readout,samecls_samecont,c000,0.20207786560058594,2.9594223499298096,0.06470493972301483,0.9894923567771912,0.7104811072349548,1.0,0,p00188,109,46,0,0
constructed,eval,10,readout,othercls_samecont,c000,-0.27356529235839844,3.8357927799224854,0.08385083824396133,1.0984046459197998,0.8932436108589172,1.3561453819274902,0,p00117,108,46,0,0
constructed_min,eval,10,readout,othercls_samecont,c000,-0.1894054412841797,2.9594223499298096,0.06485980749130249,0.8250104784965515,0.6583535671234131,1.0,0,p00117,108,46,0,0
constructed,eval,10,readout,samecls_diffcont,c000,-0.31851959228515625,3.8357927799224854,0.08334966003894806,0.7772860527038574,0.6140260100364685,1.2225897312164307,0,p00189,79,46,0,0
constructed_min,eval,10,readout,samecls_diffcont,c000,-0.19193077087402344,2.9594223499298096,0.06441494822502136,0.5919983983039856,0.39466962218284607,1.0,0,p00189,79,46,0,0
constructed,eval,10,readout,othercls_diffcont,c000,-0.4289875030517578,3.8357927799224854,0.08315832912921906,1.0095125436782837,0.6311770677566528,1.2210477590560913,0,p00289,79,46,0,0
constructed_min,eval,10,readout,othercls_diffcont,c000,-0.2811260223388672,2.9594223499298096,0.06423578411340714,0.7673328518867493,0.3368234634399414,1.0,0,p00289,79,46,0,0
unmatched,eval,10,task,samecls_samecont,c000,0.19336509704589844,3.4936842918395996,0.07752484828233719,1.0,1.0,1.0,0,p00188,109,79,46,0
unmatched,eval,10,task,othercls_samecont,c000,0.1282939910888672,4.47324800491333,0.09979456663131714,1.0,1.0,1.0,0,p00117,108,79,46,0
unmatched,eval,10,task,samecls_diffcont,c000,-0.005645751953125,5.093264102935791,0.1132344901561737,1.0,1.0,1.0,0,p00189,79,79,46,0
unmatched,eval,10,task,othercls_diffcont,c000,0.05875205993652344,4.923350811004639,0.10810419917106628,1.0,1.0,1.0,0,p00289,79,79,46,0
selected,eval,10,task,samecls_samecont,c000,0.0615234375,4.7556071281433105,0.10580956935882568,1.0,1.0,1.0,0,p01203,109,79,46,5
selected,eval,10,task,othercls_samecont,c000,0.12142372131347656,4.676778793334961,0.1037694439291954,1.0,1.0,1.0,0,p00296,108,79,46,3
selected,eval,10,task,samecls_diffcont,c000,-0.005645751953125,5.093264102935791,0.1132344901561737,1.0,1.0,1.0,0,p00189,79,79,46,0
selected,eval,10,task,othercls_diffcont,c000,0.05199623107910156,5.172344207763672,0.11423353850841522,1.0,1.0,1.0,0,p00589,79,79,46,2
constructed,eval,10,task,samecls_samecont,c000,0.24553489685058594,4.49588680267334,0.09991113096475601,1.306033968925476,1.0561646223068237,1.568777322769165,0,p00188,109,79,46,0
constructed_min,eval,10,task,samecls_samecont,c000,0.19319534301757812,3.4695582389831543,0.07706526666879654,0.9913190007209778,0.8345177173614502,1.0,0,p00188,109,79,46,0
constructed,eval,10,task,othercls_samecont,c000,0.13281631469726562,4.495887279510498,0.10002841055393219,1.0252963304519653,0.8385257124900818,1.3255821466445923,0,p00117,108,79,46,0
constructed_min,eval,10,task,othercls_samecont,c000,0.09899139404296875,3.4695587158203125,0.0771290734410286,0.7838398814201355,0.5945315957069397,1.0,0,p00117,108,79,46,0
constructed,eval,10,task,samecls_diffcont,c000,-0.0029296875,4.49588680267334,0.09982313960790634,0.8791511058807373,0.7370269894599915,1.0340123176574707,0,p00189,79,79,46,0
constructed_min,eval,10,task,samecls_diffcont,c000,0.004550933837890625,3.4695582389831543,0.07703910022974014,0.6752061247825623,0.5189852118492126,0.8642316460609436,0,p00189,79,79,46,0
constructed,eval,10,task,othercls_diffcont,c000,0.05867195129394531,4.495887279510498,0.09920630604028702,0.9184808731079102,0.7808650135993958,1.124826431274414,0,p00289,79,79,46,0
constructed_min,eval,10,task,othercls_diffcont,c000,0.043636322021484375,3.4695582389831543,0.07660812139511108,0.7042960524559021,0.5156636834144592,0.960026741027832,0,p00289,79,79,46,0
unmatched,eval,20,final,samecls_samecont,c000,0.18149375915527344,8.334712982177734,0.11311984062194824,1.0,1.0,1.0,0,p00188,109,1,0,0
unmatched,eval,20,final,othercls_samecont,c000,-0.7522411346435547,10.542311668395996,0.14539161324501038,1.0,1.0,1.0,0,p00117,108,1,0,0
unmatched,eval,20,final,samecls_diffcont,c000,0.1730365753173828,9.558947563171387,0.1323256492614746,1.0,1.0,1.0,0,p00189,79,1,0,0
unmatched,eval,20,final,othercls_diffcont,c000,-0.6667404174804688,9.16784954071045,0.12588107585906982,1.0,1.0,1.0,0,p00289,79,1,0,0
selected,eval,20,final,samecls_samecont,c000,-0.33263587951660156,9.169498443603516,0.1264573335647583,1.0,1.0,1.0,0,p01203,109,1,0,5
selected,eval,20,final,othercls_samecont,c000,-0.325775146484375,9.035750389099121,0.12471073865890503,1.0,1.0,1.0,0,p00468,109,1,0,4
selected,eval,20,final,samecls_diffcont,c000,-0.10751152038574219,9.03570556640625,0.1253366619348526,1.0,1.0,1.0,0,p00659,79,1,0,2
selected,eval,20,final,othercls_diffcont,c000,-0.6667404174804688,9.16784954071045,0.12588107585906982,1.0,1.0,1.0,0,p00289,79,1,0,0
constructed,eval,20,final,samecls_samecont,c000,0.2097454071044922,9.400954246520996,0.12725365161895752,1.1279280185699463,1.1279280185699463,1.1279280185699463,0,p00188,109,1,0,0
constructed_min,eval,20,final,samecls_samecont,c000,0.1815185546875,8.334712982177734,0.11311984807252884,1.0,1.0,1.0,0,p00188,109,1,0,0
constructed,eval,20,final,othercls_samecont,c000,-0.6759357452392578,9.400955200195312,0.1297977715730667,0.8917357325553894,0.8917357325553894,0.8917357325553894,0,p00117,108,1,0,0
constructed_min,eval,20,final,othercls_samecont,c000,-0.6039066314697266,8.334712028503418,0.11517904698848724,0.7905963659286499,0.7905963659286499,0.7905963659286499,0,p00117,108,1,0,0
constructed,eval,20,final,samecls_diffcont,c000,0.16958999633789062,9.400957107543945,0.13014836609363556,0.9834718704223633,0.9834718704223633,0.9834718704223633,0,p00189,79,1,0,0
constructed_min,eval,20,final,samecls_diffcont,c000,0.14683151245117188,8.334714889526367,0.11543498933315277,0.8719279170036316,0.8719279170036316,0.8719279170036316,0,p00189,79,1,0,0
constructed,eval,20,final,othercls_diffcont,c000,-0.6796131134033203,9.400957107543945,0.1290353536605835,1.0254265069961548,1.0254265069961548,1.0254265069961548,0,p00289,79,1,0,0
constructed_min,eval,20,final,othercls_diffcont,c000,-0.6193122863769531,8.334711074829102,0.11458185315132141,0.9091240763664246,0.9091240763664246,0.9091240763664246,0,p00289,79,1,0,0
unmatched,eval,20,readout,samecls_samecont,c000,0.23944854736328125,8.594671249389648,0.1076115146279335,1.0,1.0,1.0,0,p00188,109,46,0,0
unmatched,eval,20,readout,othercls_samecont,c000,-0.9973411560058594,11.13687801361084,0.1378284990787506,1.0,1.0,1.0,0,p00117,108,46,0,0
unmatched,eval,20,readout,samecls_diffcont,c000,0.28537750244140625,11.587265968322754,0.14334537088871002,1.0,1.0,1.0,0,p00189,79,46,0,0
unmatched,eval,20,readout,othercls_diffcont,c000,-0.8753070831298828,9.9427490234375,0.1245632991194725,1.0,1.0,1.0,0,p00289,79,46,0,0
selected,eval,20,readout,samecls_samecont,c000,0.6941661834716797,9.588208198547363,0.11844311654567719,1.0,1.0,1.0,0,p00630,110,46,0,2
selected,eval,20,readout,othercls_samecont,c000,-0.4374732971191406,9.273717880249023,0.11583881080150604,1.0,1.0,1.0,0,p00468,109,46,0,4
selected,eval,20,readout,samecls_diffcont,c000,0.28537750244140625,11.587265968322754,0.14334537088871002,1.0,1.0,1.0,0,p00189,79,46,0,0
selected,eval,20,readout,othercls_diffcont,c000,-1.4890384674072266,11.896380424499512,0.14626342058181763,1.0,1.0,1.0,0,p00380,79,46,0,1
