layer,framing,alpha,content_id,delta
0,eval,-4.0,c006,0.024107933044433594
0,eval,-4.0,c017,0.00848388671875
0,eval,-4.0,c039,-0.04154014587402344
0,eval,-4.0,c036,0.04085254669189453
0,eval,-4.0,c009,-0.04266166687011719
0,eval,-4.0,c000,0.0448455810546875
0,eval,-4.0,c013,-0.10966014862060547
0,eval,-4.0,c049,0.008376121520996094
0,eval,-4.0,c058,-0.03182792663574219
0,eval,-4.0,c024,0.06599903106689453
0,eval,-4.0,c042,-0.05646228790283203
0,eval,-4.0,c047,-0.022176742553710938
0,eval,-4.0,c043,0.23375320434570312
0,eval,-4.0,c003,0.05451202392578125
0,eval,-4.0,c041,0.06653690338134766
0,eval,-4.0,c008,0.0787343978881836
0,eval,-4.0,c045,-0.17992019653320312
0,eval,-4.0,c011,-0.13936328887939453
0,eval,-4.0,c020,-0.07735252380371094
0,eval,-4.0,c044,-0.0680074691772461
0,eval,-4.0,c016,-0.07265186309814453
0,eval,-4.0,c056,0.041754722595214844
0,eval,-4.0,c025,0.060706138610839844
0,eval,-4.0,c029,-0.0666961669921875
0,eval,-4.0,c014,0.20102405548095703
0,eval,-4.0,c002,0.037796974182128906
0,eval,-4.0,c023,-0.019928932189941406
0,eval,-4.0,c046,0.06325149536132812
0,eval,-4.0,c022,0.12192249298095703
0,eval,-4.0,c050,0.10629653930664062
0,eval,-4.0,c006,-0.036597251892089844
0,eval,-4.0,c017,-0.0937957763671875
0,eval,-4.0,c039,-0.046176910400390625
0,eval,-4.0,c036,0.029020309448242188
0,eval,-4.0,c009,-0.07184600830078125
0,eval,-4.0,c000,-0.04500293731689453
0,eval,-4.0,c013,-0.06471824645996094
0,eval,-4.0,c049,0.0768594741821289
0,eval,-4.0,c058,-0.062010765075683594
0,eval,-4.0,c024,0.062152862548828125
0,eval,-4.0,c042,0.04440784454345703
0,eval,-4.0,c047,-0.08018779754638672
0,eval,-4.0,c043,0.1476421356201172
0,eval,-4.0,c003,0.018682479858398438
0,eval,-4.0,c041,0.0915060043334961
0,eval,-4.0,c008,-0.03471660614013672
0,eval,-4.0,c045,-0.04052543640136719
0,eval,-4.0,c011,0.03744029998779297
0,eval,-4.0,c020,0.053139686584472656
0,eval,-4.0,c044,0.054818153381347656
0,eval,-4.0,c016,0.016974449157714844
0,eval,-4.0,c056,0.06430435180664062
0,eval,-4.0,c025,0.04235553741455078
0,eval,-4.0,c029,-0.028962135314941406
0,eval,-4.0,c014,-0.00022602081298828125
0,eval,-4.0,c002,-0.003086090087890625
0,eval,-4.0,c023,-0.04436016082763672
0,eval,-4.0,c046,0.1412343978881836
0,eval,-4.0,c022,0.08427238464355469
0,eval,-4.0,c050,0.027772903442382812
0,deploy,4.0,c006,-0.14710712432861328
0,deploy,4.0,c017,-0.11692047119140625
0,deploy,4.0,c039,-0.19261646270751953
0,deploy,4.0,c036,-0.1532421112060547
0,deploy,4.0,c009,-0.07782936096191406
0,deploy,4.0,c000,-0.08267021179199219
0,deploy,4.0,c013,-0.1538524627685547
0,deploy,4.0,c049,-0.18330955505371094
0,deploy,4.0,c058,-0.08852100372314453
0,deploy,4.0,c024,-0.10452842712402344
0,deploy,4.0,c042,-0.00010967254638671875
0,deploy,4.0,c047,-0.047310829162597656
0,deploy,4.0,c043,-0.12147140502929688
0,deploy,4.0,c003,-0.05377483367919922
0,deploy,4.0,c041,-0.039951324462890625
0,deploy,4.0,c008,-0.09143352508544922
0,deploy,4.0,c045,0.0156097412109375
0,deploy,4.0,c011,-0.047115325927734375
0,deploy,4.0,c020,-0.05926513671875
0,deploy,4.0,c044,-0.13622474670410156
0,deploy,4.0,c016,-0.1503925323486328
0,deploy,4.0,c056,-0.13374805450439453
0,deploy,4.0,c025,-0.04532337188720703
0,deploy,4.0,c029,-0.022699356079101562
0,deploy,4.0,c014,-0.12434005737304688
0,deploy,4.0,c002,-0.1248779296875
0,deploy,4.0,c023,-0.06161308288574219
0,deploy,4.0,c046,-0.09691524505615234
0,deploy,4.0,c022,-0.13271045684814453
0,deploy,4.0,c050,-0.11270904541015625
0,deploy,4.0,c006,-0.16907405853271484
0,deploy,4.0,c017,-0.07069778442382812
0,deploy,4.0,c039,-0.11736202239990234
0,deploy,4.0,c036,-0.17589950561523438
0,deploy,4.0,c009,-0.14254379272460938
0,deploy,4.0,c000,-0.022867202758789062
0,deploy,4.0,c013,-0.10117149353027344
0,deploy,4.0,c049,-0.11507987976074219
0,deploy,4.0,c058,-0.07362174987792969
0,deploy,4.0,c024,-0.18731021881103516
0,deploy,4.0,c042,-0.029305458068847656
0,deploy,4.0,c047,-0.1158447265625
0,deploy,4.0,c043,-0.11211490631103516
0,deploy,4.0,c003,-0.10849666595458984
0,deploy,4.0,c041,-0.06074237823486328
0,deploy,4.0,c008,0.024141311645507812
0,deploy,4.0,c045,-0.05381202697753906
0,deploy,4.0,c011,-0.11670494079589844
0,deploy,4.0,c020,-0.14354705810546875
0,deploy,4.0,c044,-0.1324443817138672
0,deploy,4.0,c016,-0.12571048736572266
0,deploy,4.0,c056,-0.12477779388427734
0,deploy,4.0,c025,-0.06957721710205078
0,deploy,4.0,c029,-0.18566322326660156
0,deploy,4.0,c014,-0.043674468994140625
0,deploy,4.0,c002,-0.014621734619140625
0,deploy,4.0,c023,-0.04980754852294922
0,deploy,4.0,c046,-0.08788585662841797
0,deploy,4.0,c022,-0.15220069885253906
0,deploy,4.0,c050,-0.057450294494628906
1,eval,-4.0,c006,0.010672569274902344
1,eval,-4.0,c017,-0.18899250030517578
1,eval,-4.0,c039,-0.24954700469970703
1,eval,-4.0,c036,-0.0760354995727539
1,eval,-4.0,c009,-0.2534036636352539
1,eval,-4.0,c000,-0.013090133666992188
