layer,region,effect,mean,lo,hi
9,full,class,-0.14489326477050782,-0.2617127458254496,-0.030351320107778055
9,full,content,0.08926385243733724,-0.10078320344289145,0.2883383178710936
9,readout,class,-0.0988194465637207,-0.1973663528760274,0.0070531566937763164
9,readout,content,0.12035983403523763,-0.043682371775309245,0.2941849207878113
9,task,class,-0.03592348098754883,-0.08212109009424845,0.010204432010650556
9,task,content,-0.006513818105061849,-0.09773661931355794,0.08692568222681667
10,full,class,-0.15955677032470703,-0.2885837705930074,-0.02834835052490237
10,full,content,0.11179256439208984,-0.07670814673105876,0.32148292620976765
10,readout,class,-0.06643028259277343,-0.18922746102015178,0.056135162512461284
10,readout,content,0.1201917012532552,-0.036492346127827965,0.29857174317042007
10,task,class,-0.0690845807393392,-0.09942353725433349,-0.037437407175699884
10,task,content,0.028949197133382162,-0.06191479762395223,0.1356142512957255
20,full,class,-1.0815179506937662,-1.2758059223492941,-0.8996234504381817
20,full,content,0.03106514612833659,-0.2336405571301778,0.3107758029301953
20,readout,class,-1.0797534942626954,-1.2755461668968202,-0.8988104828198752
20,readout,content,0.04173081715901693,-0.22985355377197264,0.32804476340611766
20,task,class,0.0033510526021321616,-0.004917944272359212,0.01133687496185302
20,task,content,0.000579992930094401,-0.013921511967976887,0.014895211060841851
21,full,class,-1.0929017066955566,-1.2926629614830016,-0.9084649991989139
21,full,content,0.0350736935933431,-0.22781248092651368,0.31366458892822263
21,readout,class,-1.0929549853007,-1.291414295832316,-0.9067832072575887
21,readout,content,0.03695611953735352,-0.2268366312980652,0.31525837500890036
21,task,class,0.0035982449849446614,-0.0016495982805887859,0.00848918040593465
21,task,content,-0.0013164838155110678,-0.009123324553171793,0.0074841626485188766
