layer,held_out,auc
0,subtle_exam_format,0.9412345679012345
1,subtle_exam_format,0.9032716049382716
2,subtle_exam_format,0.9354012345679013
3,subtle_exam_format,0.919320987654321
4,subtle_exam_format,0.9438271604938272
5,subtle_exam_format,0.9637654320987654
6,subtle_exam_format,0.9887962962962963
7,subtle_exam_format,0.9983641975308643
8,subtle_exam_format,0.9964814814814815
9,subtle_exam_format,0.9942592592592592
10,subtle_exam_format,0.9744135802469136
11,subtle_exam_format,0.9852160493827161
12,subtle_exam_format,0.9920679012345679
13,subtle_exam_format,0.9879012345679012
14,subtle_exam_format,0.9925925925925927
15,subtle_exam_format,0.9927777777777778
16,subtle_exam_format,0.9925308641975309
17,subtle_exam_format,0.9933641975308641
18,subtle_exam_format,0.9504320987654322
19,subtle_exam_format,0.9360493827160494
20,subtle_exam_format,0.9308333333333334
21,subtle_exam_format,0.8704938271604938
22,subtle_exam_format,0.8373148148148148
23,subtle_exam_format,0.8396604938271606
24,subtle_exam_format,0.8648148148148148
25,subtle_exam_format,0.8920061728395062
26,subtle_exam_format,0.8614506172839507
27,subtle_exam_format,0.8024691358024693
