layer,cv_acc,cv_auc,test_auc
0,0.9518518518518517,0.9849691358024693,0.9154876543209877
1,0.9728395061728395,0.9979629629629629,0.9338271604938271
2,0.9814814814814815,0.9985802469135802,0.9448395061728396
3,0.9851851851851852,0.999320987654321,0.9496790123456791
4,0.9888888888888889,0.999567901234568,0.9303518518518518
5,0.9913580246913579,1.0,0.9633024691358023
6,0.9950617283950617,0.9999074074074074,0.9633765432098766
7,0.9962962962962962,1.0,0.9732777777777777
8,0.9987654320987656,1.0,0.9765864197530864
9,0.9975308641975309,1.0,0.9647222222222223
10,0.9925925925925926,0.999783950617284,0.9309629629629629
11,0.9864197530864196,0.9989197530864198,0.916253086419753
12,0.9864197530864196,0.9990432098765432,0.9404382716049383
13,0.9802469135802468,0.9977777777777778,0.9726975308641975
14,0.9913580246913579,0.999537037037037,0.9693333333333334
15,0.9790123456790123,0.9992592592592592,0.9662222222222222
16,0.9617283950617284,0.9794135802469135,0.9602839506172839
17,0.9703703703703702,0.9839197530864198,0.9495432098765433
18,0.9641975308641975,0.9931790123456791,0.9133950617283951
19,0.95679012345679,0.9801851851851853,0.7958888888888889
20,0.9283950617283951,0.9785493827160494,0.7468765432098766
21,0.9209876543209876,0.9796913580246913,0.7023765432098765
22,0.8716049382716049,0.9625308641975309,0.7038518518518518
23,0.8790123456790123,0.970895061728395,0.6924135802469136
24,0.8333333333333333,0.9641666666666666,0.714388888888889
25,0.8234567901234566,0.9466666666666667,0.7220555555555556
26,0.8419753086419753,0.9431172839506173,0.7204197530864197
27,0.8481481481481481,0.9503395061728396,0.615148148148148
