arm,dst_cls,layer,region,effect,mean,lo,hi,n_contents
constructed,deploy,12,final,class,-0.049936676025390626,-0.1769421362876892,0.0729881199200948,30
constructed,deploy,12,final,content,0.09156812032063802,-0.06038188298543294,0.24544793526331582,30
constructed,deploy,12,final,interaction,-0.07074731190999349,-0.19574402729670207,0.05623454888661702,30
constructed,deploy,12,readout,class,-0.006276067097981771,-0.3769013388951619,0.37083438475926694,30
constructed,deploy,12,readout,content,0.16867535909016926,-0.37319178581237794,0.6852632157007853,30
constructed,deploy,12,readout,interaction,-0.09372469584147135,-0.4645682366689046,0.27702216784159345,30
constructed,deploy,12,task,class,0.08332500457763672,-0.056250176429748534,0.2270766528447469,30
constructed,deploy,12,task,content,-0.037508519490559895,-0.22499789953231814,0.17706843376159667,30
constructed,deploy,12,task,interaction,0.037490463256835936,-0.0958968162536621,0.16872871398925782,30
constructed,deploy,26,final,class,2.4209350903828937,1.825157880783081,3.039536035060882,30
constructed,deploy,26,final,content,-0.2918660799662272,-0.9252198338508606,0.3437318094571429,30
constructed,deploy,26,final,interaction,0.3334495226542155,-0.21853341579437258,0.9293405882517494,30
constructed,deploy,26,readout,class,2.1980705579121906,1.6499971763292949,2.7876487930615745,30
constructed,deploy,26,readout,content,-0.2648046811421712,-0.8651237646738689,0.34175911188125524,30
constructed,deploy,26,readout,interaction,0.3438949267069499,-0.2186435055732727,0.9316556700070691,30
constructed,deploy,26,task,class,0.008328819274902343,-0.016671690940856933,0.035413736502329506,30
constructed,deploy,26,task,content,0.0458255132039388,-0.008329759438832601,0.10206299463907878,30
constructed,deploy,26,task,interaction,0.016660563151041665,-0.016671027342478432,0.05213215112686129,30
constructed,eval,12,final,class,0.029223092397054038,-0.08551569541295369,0.137493523756663,30
constructed,eval,12,final,content,0.07077646255493164,-0.06448208332061768,0.20843738238016737,30
constructed,eval,12,final,interaction,0.004209168752034505,-0.085371945699056,0.09579617818196615,30
constructed,eval,12,readout,class,-0.3376404126485189,-0.7917421054840087,0.12302809317906672,30
constructed,eval,12,readout,content,0.47504358291625975,-0.10204338153203328,1.041615532239278,30
constructed,eval,12,readout,interaction,-0.02499087651570638,-0.3562763706843058,0.31056098699569673,30
constructed,eval,12,task,class,-0.03552827835083008,-0.1668665361404419,0.10000834782918268,30
constructed,eval,12,task,content,0.05625734329223633,-0.10212479352951048,0.22088700850804618,30
constructed,eval,12,task,interaction,-0.08958857854207357,-0.24585421403249105,0.05630230347315442,30
constructed,eval,26,final,class,-2.1855314572652182,-2.706350592772166,-1.6480152249336246,30
constructed,eval,26,final,content,0.7479729652404785,-0.08150731086730956,1.5647145358721413,30
constructed,eval,26,final,interaction,0.20212965011596679,-0.19387346347173054,0.6251007517178848,30
constructed,eval,26,readout,class,-2.068887170155843,-2.5751861278216044,-1.5729810595512395,30
constructed,eval,26,readout,content,0.7104493776957194,-0.06670362869898479,1.4875189979871115,30
constructed,eval,26,readout,interaction,0.18544460932413737,-0.23118037621180215,0.6167397793134051,30
constructed,eval,26,task,class,0.02083438237508138,-0.010408888657887777,0.04999667247136434,30
