layer,direction,mean,lo,hi,n
0,deploy_to_eval,0.07909717559814453,-0.027144737243652343,0.18325937350591023,60
0,eval_to_deploy,-0.11458841959635417,-0.2249962878227234,-0.0021133049329121927,60
0,unpaired_control,-0.033448219299316406,-0.16265470027923584,0.09566197236378986,60
2,deploy_to_eval,0.16449108123779296,-6.377935409545894e-05,0.32079675197601315,60
2,eval_to_deploy,-0.16457379659016927,-0.37088903347651164,0.04583981434504191,60
2,unpaired_control,0.108210817972819,-0.07516458829243977,0.3062969875335691,60
4,deploy_to_eval,0.16884759267171223,-0.03136503140131633,0.3751224239667256,60
4,eval_to_deploy,-0.216644287109375,-0.42287949164708455,-0.018684767882029496,60
4,unpaired_control,0.06655728022257487,-0.21679668108622233,0.3312758429845171,60
6,deploy_to_eval,0.23948198954264324,-0.06884360392888386,0.5519930307070414,60
6,eval_to_deploy,0.04797633488972982,-0.28745721817016606,0.3375303427378336,60
6,unpaired_control,0.2748296101888021,-0.08773164590199789,0.624862285455068,60
8,deploy_to_eval,-0.06057879130045573,-0.37725738525390623,0.2645124824841814,60
8,eval_to_deploy,0.1792260487874349,-0.17088308493296306,0.5146796727180478,60
8,unpaired_control,0.01649923324584961,-0.42534244775772095,0.46456988811492866,60
10,deploy_to_eval,0.28109715779622396,-0.012726319630940749,0.5895547874768573,60
10,eval_to_deploy,0.04586594899495443,-0.27916214148203533,0.3478939398129781,60
10,unpaired_control,0.5852639198303222,0.1349664521217346,1.0417904281616204,60
12,deploy_to_eval,-0.38140799204508463,-0.7273775172233582,-0.037613365650177276,60
12,eval_to_deploy,0.404207452138265,0.05411776940027873,0.7687281266848246,60
12,unpaired_control,0.014449787139892579,-0.523112321694692,0.5872088694572448,60
14,deploy_to_eval,-1.6063920338948567,-2.0125555141766864,-1.1711565359433493,60
14,eval_to_deploy,1.6125984827677409,1.2126695187886556,1.9813158893585205,60
14,unpaired_control,-1.3918220202128093,-2.1878053760528564,-0.6732165670394898,60
16,deploy_to_eval,-2.2730531374613445,-2.8022628172238666,-1.7334986591339114,60
16,eval_to_deploy,2.3355520248413084,1.7999705521265665,2.8480356407165526,60
16,unpaired_control,-2.245989767710368,-3.0730037760734557,-1.500057281653088,60
18,deploy_to_eval,-2.329311752319336,-2.8710667785008748,-1.7650106342633567,60
18,eval_to_deploy,2.327218755086263,1.8104951707522074,2.8354102969169617,60
18,unpaired_control,-2.2647322018941245,-3.091825140317281,-1.4981636699040732,60
20,deploy_to_eval,-2.3439064343770344,-2.8772499521573383,-1.7939497041702273,60
20,eval_to_deploy,2.3751532236735025,1.8606242235501607,2.881420114835103,60
20,unpaired_control,-2.293907801310221,-3.0981985036532085,-1.5335305786132816,60
22,deploy_to_eval,-2.339731788635254,-2.86256174882253,-1.80428039153417,60
22,eval_to_deploy,2.3918070793151855,1.8711309973398844,2.916687132517496,60
22,unpaired_control,-2.310573768615723,-3.112747328281402,-1.560589072704316,60
24,deploy_to_eval,-2.381389045715332,-2.9023667645454405,-1.8378684592247012,60
24,eval_to_deploy,2.389741643269857,1.8711188745498657,2.908455376625061,60
24,unpaired_control,-2.383480930328369,-3.177229347229004,-1.6605964597066252,60
26,deploy_to_eval,-2.3876473744710287,-2.9146982526779177,-1.8563548159599306,60
26,eval_to_deploy,2.406400966644287,1.8835909962654114,2.931312754154205,60
26,unpaired_control,-2.3897272745768228,-3.152461057504018,-1.6771408915519717,60
27,deploy_to_eval,-2.379315153757731,-2.9125404953956604,-1.841827738285065,60
27,eval_to_deploy,2.379315153757731,1.8418277382850647,2.9125404953956604,60
27,unpaired_control,-2.379315153757731,-3.1420010924339294,-1.6625917538007102,60
