alpha,framing,condition,layer,layer_tag,content_id,belief,delta,kl,entropy
-8.0,eval,d,8,best,c006,0.12506103515625,-2.3119373321533203,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c017,3.8750009536743164,-1.1249704360961914,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c039,-2.5624542236328125,-3.874959945678711,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c036,0.5625400543212891,0.18794536590576172,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c009,-3.374959945678711,-2.7498836517333984,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c000,-0.1875019073486328,-2.9993486404418945,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c013,8.937447547912598,-1.0622634887695312,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c049,3.2499961853027344,-0.8125,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c058,1.6874961853027344,0.9374980926513672,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c024,0.4376373291015625,0.3751182556152344,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c042,2.062511444091797,-1.749959945678711,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c047,0.18746280670166016,-0.5621128082275391,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c043,0.7501249313354492,-0.24908161163330078,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c003,-0.5625066757202148,-2.6249637603759766,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c041,0.06253242492675781,-2.562032699584961,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c008,-4.562498092651367,-3.187498092651367,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c045,8.749885559082031,1.0626602172851562,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c011,0.25001049041748047,-4.187405586242676,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c020,7.4993085861206055,-1.6253786087036133,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c044,10.999899864196777,0.9387617111206055,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c016,1.6875,-0.1874675750732422,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c056,-0.18388843536376953,-0.918025016784668,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c025,1.1877756118774414,1.9377250671386719,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c029,-2.5624818801879883,-0.8124828338623047,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c014,1.1250009536743164,-0.6874876022338867,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c002,-0.4374580383300781,-1.8749504089355469,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c023,2.187437057495117,-0.06240653991699219,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c046,0.938014030456543,1.6252374649047852,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c022,1.5000648498535156,-1.37481689453125,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c050,2.375049591064453,1.1885204315185547,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c006,-1.0624895095825195,-2.374357223510742,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c017,2.562495231628418,-1.1249456405639648,0.0250104907900095,0.0889311283826828
