layer,pair,direction,content_id,delta,baseline,k
0,0,deploy_to_eval,c006,0.25000762939453125,7.000043869018555,123
0,0,eval_to_deploy,c006,-0.8749465942382812,3.2501182556152344,123
0,0,unpaired_control,c006,0.0,7.000043869018555,79
2,0,deploy_to_eval,c006,0.6250457763671875,7.000043869018555,123
2,0,eval_to_deploy,c006,-0.7500400543212891,3.2501182556152344,123
2,0,unpaired_control,c006,0.375,7.000043869018555,79
4,0,deploy_to_eval,c006,0.25003814697265625,7.000043869018555,123
4,0,eval_to_deploy,c006,-1.499969482421875,3.2501182556152344,123
4,0,unpaired_control,c006,-7.62939453125e-06,7.000043869018555,79
6,0,deploy_to_eval,c006,-0.9999446868896484,7.000043869018555,123
6,0,eval_to_deploy,c006,0.6249237060546875,3.2501182556152344,123
6,0,unpaired_control,c006,0.12496376037597656,7.000043869018555,79
8,0,deploy_to_eval,c006,-0.37499046325683594,7.000043869018555,123
8,0,eval_to_deploy,c006,0.24990272521972656,3.2501182556152344,123
8,0,unpaired_control,c006,-0.7500267028808594,7.000043869018555,79
10,0,deploy_to_eval,c006,-0.24993324279785156,7.000043869018555,123
10,0,eval_to_deploy,c006,-8.58306884765625e-05,3.2501182556152344,123
10,0,unpaired_control,c006,-0.625030517578125,7.000043869018555,79
12,0,deploy_to_eval,c006,-1.2499961853027344,7.000043869018555,123
12,0,eval_to_deploy,c006,1.2499103546142578,3.2501182556152344,123
12,0,unpaired_control,c006,-1.2500362396240234,7.000043869018555,79
14,0,deploy_to_eval,c006,-2.9998950958251953,7.000043869018555,123
14,0,eval_to_deploy,c006,2.249919891357422,3.2501182556152344,123
14,0,unpaired_control,c006,-1.500030517578125,7.000043869018555,79
16,0,deploy_to_eval,c006,-3.3749923706054688,7.000043869018555,123
16,0,eval_to_deploy,c006,3.2499637603759766,3.2501182556152344,123
16,0,unpaired_control,c006,-1.8750324249267578,7.000043869018555,79
18,0,deploy_to_eval,c006,-3.8749217987060547,7.000043869018555,123
18,0,eval_to_deploy,c006,3.9999237060546875,3.2501182556152344,123
18,0,unpaired_control,c006,-2.0000362396240234,7.000043869018555,79
20,0,deploy_to_eval,c006,-3.62493896484375,7.000043869018555,123
20,0,eval_to_deploy,c006,3.999906539916992,3.2501182556152344,123
20,0,unpaired_control,c006,-2.1250171661376953,7.000043869018555,79
22,0,deploy_to_eval,c006,-3.7499122619628906,7.000043869018555,123
22,0,eval_to_deploy,c006,3.9999141693115234,3.2501182556152344,123
22,0,unpaired_control,c006,-1.8750324249267578,7.000043869018555,79
24,0,deploy_to_eval,c006,-3.749948501586914,7.000043869018555,123
24,0,eval_to_deploy,c006,3.8749237060546875,3.2501182556152344,123
24,0,unpaired_control,c006,-2.000032424926758,7.000043869018555,79
26,0,deploy_to_eval,c006,-3.7499256134033203,7.000043869018555,123
26,0,eval_to_deploy,c006,3.6249313354492188,3.2501182556152344,123
26,0,unpaired_control,c006,-1.8750362396240234,7.000043869018555,79
27,0,deploy_to_eval,c006,-3.7499256134033203,7.000043869018555,123
27,0,eval_to_deploy,c006,3.7499256134033203,3.2501182556152344,123
