direction,layer,alpha,acc,p_correct,belief
d,12,-4.0,0.75,0.7659295201301575,-0.9629362225532532
d,12,4.0,0.7083333134651184,0.7137340903282166,4.252288341522217
style,12,-4.0,0.75,0.766062319278717,0.2167988270521164
style,12,4.0,0.75,0.7530081272125244,3.094355821609497
random_0,12,-4.0,0.75,0.764868438243866,1.3978577852249146
random_0,12,4.0,0.75,0.7516595721244812,2.965118408203125
random_1,12,-4.0,0.7916666865348816,0.7985613942146301,2.418017625808716
random_1,12,4.0,0.7083333134651184,0.7270845770835876,1.9190034866333008
random_2,12,-4.0,0.7916666865348816,0.7844811081886292,1.5542999505996704
random_2,12,4.0,0.7083333134651184,0.7117976546287537,1.4088784456253052
